time	T hot	T water	T cold	mBar
15:10:00	29.3	22.5	29.2	-106
15:10:02	29.3	22.5	29.2	-106
15:10:04	31.0	22.5	28.6	-106
15:10:05	32.8	23.1	24.0	-107
15:10:07	33.3	24.1	23.4	-105
15:10:08	33.6	24.1	23.3	-106
15:10:10	33.8	24.0	23.1	-106
15:10:11	33.9	23.9	22.9	-103
15:10:13	34.0	23.7	22.8	-105
15:10:15	34.1	23.6	22.6	-105
15:10:16	34.2	23.4	22.5	-106
15:10:18	34.4	23.3	22.3	-106
15:10:19	34.4	23.1	22.1	-106
15:10:21	34.5	23.0	22.0	-106
15:10:23	34.6	22.8	21.9	-106
15:10:24	34.7	22.7	21.7	-105
15:10:26	34.8	22.6	21.5	-107
15:10:27	34.8	22.4	21.4	-106
15:10:29	34.9	22.3	21.3	-107
15:10:30	34.9	22.1	21.1	-105
15:10:32	35.0	22.0	21.0	-106
15:10:34	35.1	21.8	20.8	-106
15:10:35	35.1	21.6	20.7	-107
15:10:37	35.1	21.6	20.6	-107
15:10:38	35.2	21.4	20.4	-106
15:10:40	35.2	21.3	20.2	-106
15:10:42	35.3	21.2	20.1	-107
15:10:43	35.4	21.0	20.0	-106
15:10:45	35.3	20.9	19.8	-105
15:10:46	35.4	20.8	19.7	-107
15:10:48	35.5	20.6	19.6	-105
15:10:49	35.5	20.5	19.4	-106
15:10:51	35.5	20.4	19.3	-107
15:10:53	35.5	20.2	19.1	-106
15:10:54	35.6	20.1	19.0	-107
15:10:56	35.6	20.0	18.8	-106
15:10:57	35.7	19.9	18.7	-105
15:10:59	35.8	19.7	18.6	-105
15:11:01	35.8	19.6	18.5	-105
15:11:02	35.9	19.5	18.4	-105
15:11:04	35.9	19.3	18.2	-106
15:11:05	35.9	19.2	18.1	-105
15:11:07	35.9	19.1	18.0	-107
15:11:08	35.9	19.0	17.9	-106
15:11:10	35.9	18.9	17.7	-105
15:11:12	35.9	18.7	17.6	-106
15:11:13	35.9	18.6	17.4	-106
15:11:15	36.0	18.5	17.3	-106
15:11:16	35.9	18.4	17.2	-107
15:11:18	36.0	18.2	17.1	-106
15:11:20	36.0	18.1	16.9	-106
15:11:21	36.0	18.0	16.8	-106
15:11:23	36.1	17.9	16.7	-105
15:11:24	36.1	17.7	16.7	-105
15:11:26	36.1	17.7	16.5	-105
15:11:27	36.1	17.5	16.4	-106
15:11:29	36.1	17.4	16.2	-105
15:11:31	36.1	17.3	16.1	-105
15:11:32	36.1	17.1	16.0	-106
15:11:34	36.2	17.0	16.0	-105
15:11:35	36.1	16.9	15.8	-105
15:11:37	36.1	16.8	15.6	-106
15:11:39	36.2	16.7	15.5	-107
15:11:40	36.2	16.5	15.4	-106
15:11:42	36.1	16.4	15.3	-105
15:11:43	36.2	16.3	15.2	-106
15:11:45	36.2	16.2	15.0	-107
15:11:47	36.3	16.1	15.0	-106
15:11:48	36.2	16.0	14.9	-106
15:11:50	36.2	15.9	14.8	-106
15:11:51	36.2	15.7	14.7	-107
15:11:53	36.2	15.7	14.6	-106
15:11:54	36.3	15.5	14.5	-107
15:11:56	36.2	15.4	14.3	-107
15:11:58	36.3	15.3	14.2	-107
15:11:59	36.2	15.2	14.1	-107
15:12:01	36.2	15.1	14.0	-106
15:12:02	36.2	15.0	13.9	-106
15:12:04	36.2	14.9	13.8	-105
15:12:06	36.2	14.7	13.6	-106
15:12:07	36.2	14.6	13.5	-107
15:12:09	36.2	14.5	13.5	-106
15:12:10	36.3	14.5	13.4	-106
15:12:12	36.2	14.3	13.2	-105
15:12:13	36.2	14.2	13.1	-106
15:12:15	36.2	14.1	13.0	-106
15:12:17	36.3	13.9	12.9	-106
15:12:18	36.3	13.9	12.8	-105
15:12:20	36.2	13.7	12.7	-106
15:12:22	36.3	13.6	12.6	-106
15:12:23	36.2	13.6	12.5	-103
15:12:25	36.2	13.5	12.4	-106
15:12:26	36.3	13.4	12.2	-106
15:12:28	36.2	13.3	12.2	-107
15:12:29	36.2	13.2	12.1	-105
15:12:31	36.3	13.1	12.0	-106
15:12:33	36.4	13.0	12.0	-106
15:12:34	36.4	12.9	11.9	-105
15:12:36	36.4	12.8	11.7	-107
15:12:37	36.3	12.7	11.7	-106
15:12:39	36.4	12.5	11.5	-106
15:12:41	36.4	12.4	11.5	-106
15:12:42	36.4	12.4	11.4	-106
15:12:44	36.4	12.3	11.3	-106
15:12:45	36.4	12.2	11.2	-106
15:12:47	36.4	12.1	11.0	-106
15:12:49	36.3	12.0	10.9	-106
15:12:50	36.3	12.0	10.9	-105
15:12:52	36.4	11.8	10.7	-105
15:12:53	36.3	11.8	10.6	-106
15:12:55	36.4	11.6	10.5	-105
15:12:56	36.3	11.5	10.4	-106
15:12:58	36.3	11.5	10.3	-106
15:13:00	36.3	11.3	10.2	-106
15:13:01	36.4	11.3	10.2	-105
15:13:03	36.4	11.2	10.1	-103
15:13:04	36.4	11.0	10.1	-105
15:13:06	36.4	11.0	9.9	-105
15:13:08	36.4	10.9	9.8	-105
15:13:09	36.4	10.8	9.7	-102
15:13:11	36.4	10.7	9.7	-103
15:13:12	36.4	10.6	9.5	-103
15:13:14	36.4	10.5	9.5	-106
15:13:16	36.4	10.4	9.4	-105
15:13:17	36.4	10.3	9.3	-105
15:13:19	36.4	10.3	9.1	-105
15:13:20	36.3	10.2	9.0	-105
15:13:22	36.4	10.1	9.0	-103
15:13:24	36.4	10.0	8.9	-102
15:13:25	36.4	9.9	8.9	-105
15:13:27	36.4	9.8	8.8	-103
15:13:28	36.4	9.8	8.7	-103
15:13:30	36.4	9.7	8.6	-103
15:13:31	36.4	9.6	8.5	-105
15:13:33	36.4	9.5	8.4	-103
15:13:35	36.3	9.5	8.3	-105
15:13:36	36.4	9.3	8.2	-103
15:13:38	36.3	9.2	8.1	-106
15:13:39	36.4	9.1	8.1	-106
15:13:41	36.4	9.1	8.0	-106
15:13:43	36.4	9.0	7.9	-106
15:13:44	36.4	8.9	7.8	-105
15:13:46	36.4	8.9	7.7	-107
15:13:47	36.4	8.7	7.6	-106
