time	T hot	T mid	T cold	mBar
12:15:01	28.6	27.9	28.3	-892
12:15:03	28.7	28.0	28.3	-892
12:15:04	31.7	27.9	26.4	-892
12:15:06	32.0	27.9	23.1	-892
12:15:07	32.2	27.8	20.1	-892
12:15:09	32.4	27.9	16.6	-892
12:15:11	32.6	27.9	13.9	-892
12:15:12	32.6	28.0	11.2	-894
12:15:14	32.7	28.0	8.6	-892
12:15:15	32.8	28.0	6.5	-893
12:15:17	33.0	28.1	4.3	-892
12:15:18	33.0	28.2	2.2	-892
12:15:20	33.2	28.2	0.4	-892
12:15:22	33.3	28.3	-1.4	-891
12:15:23	33.4	28.3	-3.2	-892
12:15:25	33.5	28.4	-4.7	-893
12:15:26	33.6	28.4	-6.3	-892
12:15:28	33.7	28.5	-7.9	-893
12:15:30	33.7	28.5	-9.2	-892
12:15:31	34.0	28.6	-10.6	-892
12:15:33	34.1	28.6	-11.9	-893
12:15:34	34.1	28.7	-13.0	-893
12:15:36	34.2	28.7	-14.4	-893
12:15:37	34.2	28.7	-15.5	-893
12:15:39	34.4	28.7	-16.6	-893
12:15:41	34.4	28.8	-17.7	-892
12:15:42	34.5	28.8	-18.7	-892
12:15:44	34.6	28.9	-19.8	-892
12:15:45	34.7	28.9	-20.8	-892
12:15:47	34.7	28.9	-21.6	-893
12:15:48	34.7	28.9	-22.5	-894
12:15:50	34.8	29.0	-23.4	-893
12:15:52	34.9	29.0	-24.2	-893
12:15:53	35.0	29.1	-24.9	-893
12:15:55	35.1	29.0	-25.8	-893
12:15:56	35.2	29.2	-26.5	-893
12:15:58	35.2	29.2	-27.3	-894
12:15:59	35.3	29.3	-28.0	-893
12:16:01	35.3	29.3	-28.7	-893
12:16:03	35.4	29.3	-29.4	-893
12:16:04	35.4	29.3	-30.1	-894
12:16:06	35.4	29.4	-30.7	-896
12:16:07	35.5	29.4	-31.3	-894
12:16:09	35.5	29.5	-31.9	-893
12:16:11	35.6	29.5	-32.5	-896
12:16:12	35.6	29.5	-33.1	-894
12:16:14	35.7	29.5	-33.6	-893
12:16:15	35.7	29.6	-34.1	-894
12:16:17	35.8	29.6	-34.6	-893
12:16:18	35.8	29.7	-35.2	-893
12:16:20	35.9	29.7	-35.6	-892
12:16:22	35.8	29.8	-36.2	-892
12:16:23	35.9	29.8	-36.6	-891
12:16:25	35.9	29.8	-37.1	-892
12:16:26	36.0	29.8	-37.5	-892
12:16:28	36.0	29.8	-37.9	-892
12:16:29	36.1	29.8	-38.3	-892
12:16:31	36.1	29.9	-38.7	-893
12:16:33	36.1	29.9	-39.0	-892
12:16:34	36.1	30.0	-39.5	-893
12:16:36	36.1	29.9	-39.8	-894
12:16:37	36.2	30.0	-40.1	-894
12:16:39	36.2	30.0	-40.5	-894
12:16:41	36.3	30.0	-40.7	-894
12:16:42	36.3	30.1	-41.1	-894
12:16:44	36.3	30.1	-41.4	-893
12:16:45	36.3	30.1	-41.8	-893
12:16:47	36.3	30.1	-42.0	-892
12:16:48	36.4	30.2	-42.3	-892
12:16:50	36.4	30.2	-42.6	-893
12:16:52	36.4	30.2	-42.8	-894
12:16:53	36.4	30.2	-43.1	-893
12:16:55	36.4	30.3	-43.4	-892
12:16:56	36.5	30.2	-43.6	-891
12:16:58	36.5	30.3	-43.8	-892
12:16:59	36.5	30.3	-44.0	-892
12:17:01	36.5	30.3	-44.2	-893
12:17:03	36.5	30.3	-44.5	-893
12:17:04	36.6	30.3	-44.6	-891
12:17:06	36.7	30.4	-44.9	-892
12:17:07	36.7	30.4	-45.0	-893
12:17:09	36.7	30.4	-45.2	-893
12:17:11	36.7	30.4	-45.4	-893
12:17:12	36.8	30.4	-45.6	-893
12:17:14	36.8	30.4	-45.7	-893
12:17:15	36.8	30.4	-45.9	-892
12:17:17	36.8	30.5	-46.0	-892
12:17:18	36.8	30.5	-46.2	-892
12:17:20	36.8	30.5	-46.4	-893
12:17:22	36.8	30.5	-46.5	-893
12:17:23	36.8	30.5	-46.7	-892
12:17:25	36.9	30.5	-46.8	-893
12:17:26	37.0	30.5	-46.9	-894
12:17:28	37.0	30.6	-47.0	-894
