time	T hot	T water	T cold	mBar
12:00:59	28.0	29.2	22.6	-99
12:01:00	28.1	29.2	23.4	-99
12:01:02	30.6	29.1	27.3	-100
12:01:03	31.4	29.0	28.0	-101
12:01:05	31.8	29.0	28.1	-100
12:01:07	31.9	29.0	28.1	-99
12:01:08	32.1	28.9	28.1	-99
12:01:10	32.2	28.9	28.1	-101
12:01:11	32.4	28.9	28.1	-102
12:01:13	32.4	28.8	28.1	-101
12:01:14	32.5	28.8	28.0	-102
12:01:16	32.6	28.8	28.0	-102
12:01:18	32.7	28.8	28.0	-101
12:01:19	32.7	28.7	27.9	-100
12:01:21	32.8	28.7	27.9	-102
12:01:22	32.9	28.7	27.9	-101
12:01:24	33.0	28.7	27.9	-101
12:01:26	33.0	28.6	27.8	-101
12:01:27	33.1	28.6	27.8	-101
12:01:29	33.1	28.5	27.7	-103
12:01:30	33.1	28.5	27.7	-102
12:01:32	33.2	28.5	27.8	-100
12:01:33	33.3	28.5	27.7	-103
12:01:35	33.3	28.4	27.7	-101
12:01:37	33.3	28.4	27.6	-102
12:01:38	33.3	28.4	27.6	-101
12:01:40	33.3	28.4	27.5	-100
12:01:41	33.4	28.3	27.5	-100
12:01:43	33.4	28.3	27.5	-99
12:01:44	33.4	28.3	27.4	-100
12:01:46	33.4	28.3	27.4	-100
12:01:48	33.4	28.3	27.4	-101
12:01:49	33.5	28.2	27.4	-100
12:01:51	33.5	28.2	27.4	-101
12:01:52	33.6	28.2	27.3	-100
12:01:54	33.6	28.2	27.3	-102
12:01:55	33.6	28.1	27.3	-102
12:01:57	33.6	28.1	27.2	-102
12:01:59	33.6	28.1	27.2	-101
12:02:00	33.7	28.1	27.2	-101
12:02:02	33.7	28.1	27.2	-101
12:02:03	33.7	28.1	27.1	-101
12:02:05	33.7	28.0	27.1	-101
12:02:06	33.7	28.0	27.1	-100
12:02:08	33.8	28.0	27.0	-101
12:02:10	33.8	28.0	27.0	-101
12:02:11	33.8	27.9	27.0	-101
12:02:13	33.8	27.9	26.9	-101
12:02:14	33.8	27.9	26.9	-102
12:02:16	33.9	27.9	26.9	-101
12:02:17	33.9	27.9	26.9	-101
12:02:19	33.9	27.8	26.8	-101
12:02:21	33.9	27.8	26.8	-101
12:02:22	34.0	27.8	26.9	-102
12:02:24	34.0	27.8	26.8	-100
12:02:25	34.0	27.7	26.9	-100
12:02:27	34.1	27.7	26.9	-102
12:02:28	34.1	27.7	26.8	-101
12:02:30	34.1	27.6	26.8	-102
12:02:32	34.1	27.6	26.7	-100
12:02:33	34.1	27.6	26.7	-101
