time	T hot	T water	T cold	mBar
12:05:00	29.1	28.0	29.1	-105
12:05:01	29.4	28.0	29.0	-106
12:05:03	32.3	28.0	27.3	-106
12:05:04	32.8	27.9	25.6	-106
12:05:06	33.1	27.9	24.4	-103
12:05:08	33.3	27.9	23.0	-106
12:05:09	33.5	27.9	21.8	-106
12:05:11	33.6	28.0	20.7	-106
12:05:12	33.7	28.0	19.5	-107
12:05:14	33.7	27.8	20.1	-105
12:05:15	33.9	27.0	25.0	-107
12:05:17	34.0	26.6	25.3	-107
12:05:19	34.1	26.3	25.2	-105
12:05:20	34.1	26.1	25.2	-107
12:05:22	34.2	26.0	25.0	-106
12:05:23	34.3	25.8	24.8	-105
12:05:25	34.4	25.7	24.7	-107
12:05:26	34.4	25.5	24.6	-108
12:05:28	34.5	25.3	24.4	-108
12:05:30	34.5	25.2	24.2	-108
12:05:31	34.6	25.0	24.1	-106
12:05:33	34.7	24.8	23.9	-106
12:05:34	34.7	24.7	23.8	-106
12:05:36	34.7	24.5	23.6	-105
12:05:37	34.8	24.5	23.5	-106
12:05:39	34.8	24.3	23.4	-107
12:05:40	34.8	24.2	23.2	-106
12:05:42	34.9	24.0	23.0	-105
12:05:44	34.8	23.9	22.9	-108
12:05:45	34.9	23.8	22.8	-106
12:05:47	34.9	23.7	22.6	-106
12:05:48	34.9	23.4	22.4	-106
12:05:50	34.9	23.3	22.3	-106
12:05:52	35.0	23.2	22.1	-105
12:05:53	34.9	23.0	22.0	-106
12:05:55	35.0	22.9	21.8	-106
12:05:56	35.1	22.8	21.8	-107
12:05:58	35.1	22.6	21.6	-106
12:05:59	35.1	22.5	21.5	-105
12:06:01	35.1	22.3	21.4	-107
12:06:03	35.1	22.2	21.2	-106
12:06:04	35.1	22.1	21.1	-106
12:06:06	35.2	21.9	20.9	-106
12:06:07	35.2	21.8	20.8	-108
12:06:09	35.2	21.7	20.7	-105
12:06:10	35.2	21.5	20.5	-107
12:06:12	35.2	21.3	20.4	-106
12:06:14	35.3	21.2	20.3	-105
12:06:15	35.2	21.1	20.1	-106
12:06:17	35.2	20.9	19.9	-105
12:06:18	35.2	20.8	19.8	-105
12:06:20	35.3	20.7	19.7	-105
12:06:21	35.2	20.6	19.6	-105
12:06:23	35.3	20.5	19.5	-107
12:06:25	35.3	20.4	19.3	-107
12:06:26	35.3	20.2	19.2	-107
12:06:28	35.3	20.1	19.0	-106
12:06:29	35.3	19.9	18.9	-107
12:06:31	35.3	19.8	18.8	-106
12:06:32	35.3	19.7	18.6	-107
12:06:34	35.3	19.5	18.4	-107
12:06:36	35.3	19.4	18.4	-105
12:06:37	35.3	19.3	18.3	-105
12:06:39	35.3	19.2	18.1	-105
12:06:40	35.4	19.0	18.0	-106
12:06:42	35.4	18.9	17.9	-105
12:06:43	35.4	18.7	17.8	-105
12:06:45	35.4	18.6	17.7	-106
12:06:47	35.4	18.5	17.5	-107
12:06:48	35.4	18.5	17.4	-106
12:06:50	35.4	18.3	17.3	-107
12:06:51	35.4	18.2	17.2	-106
12:06:53	35.4	18.1	17.1	-107
12:06:54	35.4	17.9	17.0	-106
12:06:56	35.4	17.8	16.8	-106
12:06:58	35.4	17.7	16.7	-106
12:06:59	35.4	17.6	16.5	-107
12:07:01	35.4	17.5	16.4	-106
12:07:02	35.4	17.3	16.3	-105
12:07:04	35.4	17.3	16.2	-106
12:07:05	35.5	17.1	16.1	-108
12:07:07	35.5	17.0	16.0	-106
12:07:09	35.5	16.9	15.9	-106
12:07:10	35.5	16.8	15.8	-107
12:07:12	35.5	16.7	15.7	-107
12:07:13	35.5	16.7	15.6	-106
12:07:15	35.5	16.5	15.5	-106
12:07:16	35.5	16.4	15.3	-105
12:07:18	35.5	16.3	15.2	-106
12:07:20	35.5	16.1	15.1	-106
12:07:21	35.5	16.0	15.0	-107
12:07:23	35.5	16.0	14.9	-107
12:07:24	35.4	15.8	14.7	-106
12:07:26	35.5	15.7	14.6	-105
12:07:28	35.5	15.6	14.5	-107
12:07:29	35.5	15.6	14.4	-107
12:07:31	35.5	15.4	14.3	-108
12:07:32	35.5	15.3	14.2	-106
12:07:34	35.5	15.2	14.1	-106
12:07:35	35.5	15.1	14.0	-106
12:07:37	35.5	15.0	13.9	-105
12:07:39	35.4	14.9	13.8	-105
12:07:40	35.5	14.8	13.7	-106
12:07:42	35.4	14.7	13.6	-107
12:07:43	35.5	14.6	13.4	-106
12:07:45	35.4	14.5	13.3	-106
12:07:46	35.4	14.3	13.2	-103
12:07:48	35.4	14.2	13.1	-106
12:07:50	35.4	14.2	13.1	-106
12:07:51	35.5	14.0	13.0	-105
12:07:53	35.5	13.9	12.9	-106
12:07:54	35.5	13.9	12.8	-107
12:07:56	35.5	13.7	12.7	-106
12:07:57	35.5	13.7	12.6	-103
12:07:59	35.4	13.5	12.5	-106
12:08:01	35.4	13.4	12.4	-106
12:08:02	35.4	13.3	12.3	-106
12:08:04	35.5	13.3	12.2	-103
12:08:05	35.5	13.2	12.0	-103
