time	T hot	T cold	mBar	T test
15:19:50	24.3	25.3	-949	21.2
15:19:52	24.3	25.3	-948	21.1
15:19:53	24.3	25.3	-949	21.1
15:19:54	24.3	25.3	-948	21.1
15:19:55	24.4	25.3	-950	21.1
15:19:57	24.4	25.4	-949	21.1
15:19:58	24.5	25.4	-949	21.1
15:19:59	24.5	25.4	-948	21.1
15:20:01	24.5	25.3	-950	21.1
15:20:02	24.6	25.3	-949	21.0
15:20:03	24.6	25.3	-949	21.0
15:20:05	24.5	25.3	-949	21.0
15:20:06	24.5	25.2	-948	21.0
15:20:07	24.5	25.2	-949	21.0
15:20:09	24.5	25.1	-949	21.0
15:20:10	24.5	25.1	-948	20.9
15:20:11	24.5	25.2	-948	21.0
15:20:12	24.5	25.1	-946	21.0
15:20:14	24.5	25.1	-948	20.9
15:20:15	24.5	25.1	-949	20.9
15:20:16	24.4	25.1	-948	20.9
15:20:18	24.4	25.1	-948	20.9
15:20:19	24.3	25.0	-948	20.9
15:20:20	24.3	25.0	-946	20.9
15:20:22	24.3	25.0	-948	20.9
15:20:23	24.2	24.9	-948	20.9
15:20:24	24.1	24.9	-948	20.9
15:20:25	24.1	25.0	-948	20.8
15:20:27	24.0	24.9	-948	20.9
15:20:28	23.9	24.9	-948	20.9
15:20:29	23.9	25.0	-949	20.9
15:20:31	24.0	24.9	-948	20.9
15:20:32	24.1	25.0	-949	20.9
15:20:33	24.2	25.0	-949	20.9
15:20:35	24.2	25.0	-949	20.8
15:20:36	24.2	25.1	-948	20.9
15:20:37	24.2	25.0	-949	20.9
15:20:39	24.2	25.1	-948	20.9
15:20:40	24.2	25.1	-946	20.8
15:20:41	24.3	25.3	-948	20.9
15:20:42	24.2	25.3	-948	20.8
15:20:44	24.3	25.2	-948	20.8
15:20:45	24.1	25.2	-946	20.9
15:20:46	23.9	25.1	-946	20.8
15:20:48	23.9	25.2	-948	20.8
15:20:49	23.9	25.3	-949	20.8
15:20:50	24.0	25.3	-948	20.8
15:20:52	23.9	25.2	-948	20.8
15:20:53	23.9	25.2	-950	20.7
15:20:54	24.0	25.2	-949	20.7
15:20:55	24.1	25.1	-949	20.8
