time	T hot	T mid	T cold	mBar
10:39:59	29.4	28.7	29.3	-1043
10:40:01	29.5	28.6	29.3	-1044
10:40:03	30.2	28.6	29.2	-1043
10:40:04	33.3	28.7	28.5	-1043
10:40:06	33.3	28.7	27.6	-1042
10:40:07	33.6	28.7	26.5	-1044
10:40:09	33.7	28.7	25.5	-1045
10:40:10	33.8	28.8	24.7	-1044
10:40:12	33.9	28.8	23.7	-1042
10:40:14	34.0	28.9	22.9	-1042
10:40:15	34.1	29.0	22.0	-1044
10:40:17	34.1	29.0	21.1	-1043
10:40:18	34.1	29.0	20.3	-1044
10:40:20	34.2	29.1	19.5	-1043
10:40:22	34.2	29.1	18.5	-1043
10:40:23	34.3	29.1	17.8	-1043
10:40:25	34.3	29.2	16.9	-1043
10:40:26	34.4	29.2	16.1	-1042
10:40:28	34.4	29.2	15.4	-1043
10:40:30	34.5	29.2	14.6	-1043
10:40:31	34.6	29.2	13.9	-1044
10:40:33	34.7	29.2	13.1	-1043
10:40:34	34.8	29.3	12.4	-1044
10:40:36	34.8	29.3	11.7	-1044
10:40:37	34.8	29.3	10.9	-1043
10:40:39	34.9	29.3	10.3	-1043
10:40:41	34.9	29.3	9.6	-1044
10:40:42	34.9	29.4	8.9	-1043
10:40:44	35.0	29.4	8.2	-1043
10:40:45	35.0	29.4	7.5	-1045
10:40:47	35.1	29.4	6.8	-1044
10:40:49	35.1	29.4	6.2	-1043
10:40:50	35.1	29.4	5.6	-1044
10:40:52	35.2	29.5	4.9	-1044
10:40:53	35.3	29.5	4.3	-1045
10:40:55	35.3	29.5	3.8	-1043
10:40:56	35.4	29.5	3.1	-1044
10:40:58	35.4	29.5	2.5	-1043
10:41:00	35.4	29.6	1.9	-1043
10:41:01	35.4	29.6	1.3	-1044
10:41:03	35.5	29.6	0.8	-1044
10:41:04	35.5	29.6	0.4	-1044
10:41:06	35.6	29.6	-0.3	-1044
10:41:07	35.6	29.7	-0.8	-1044
10:41:09	35.6	29.7	-1.3	-1044
10:41:11	35.7	29.7	-1.9	-1043
10:41:12	35.7	29.7	-2.4	-1043
10:41:14	35.8	29.7	-2.9	-1045
10:41:15	35.8	29.7	-3.4	-1044
10:41:17	35.8	29.8	-3.9	-1044
10:41:19	35.9	29.8	-4.5	-1043
10:41:20	35.9	29.8	-5.0	-1044
10:41:22	35.9	29.8	-5.4	-1043
10:41:23	36.0	29.8	-6.0	-1044
