time	T hot	T mid	T cold	mBar
15:11:01	27.4	26.3	27.1	-101
15:11:03	27.3	26.3	27.1	-101
15:11:04	27.3	26.3	27.1	-100
15:11:06	29.3	26.3	25.4	-101
15:11:08	30.1	26.3	23.9	-101
15:11:09	30.4	26.3	22.6	-100
15:11:11	30.5	26.3	21.2	-102
15:11:12	30.7	26.3	19.9	-103
15:11:14	30.7	26.3	18.7	-103
15:11:16	30.8	26.4	17.3	-102
15:11:17	30.8	26.4	16.2	-102
15:11:19	30.9	26.4	15.1	-102
15:11:20	30.9	26.4	13.8	-101
15:11:22	31.0	26.4	12.9	-103
15:11:23	31.1	26.4	11.7	-103
15:11:25	31.1	26.4	10.6	-103
15:11:27	31.1	26.4	9.6	-101
15:11:28	31.1	26.4	8.6	-102
15:11:30	31.2	26.4	7.5	-101
15:11:31	31.2	26.4	6.6	-102
15:11:33	31.2	26.4	5.6	-102
15:11:34	31.2	26.4	4.6	-101
15:11:36	31.3	26.4	3.8	-102
15:11:38	31.3	26.4	2.9	-101
15:11:39	31.3	26.4	1.9	-102
15:11:41	31.3	26.4	1.2	-102
15:11:42	31.3	26.4	0.2	-102
15:11:44	31.3	26.4	-0.5	-102
15:11:45	31.4	26.4	-1.1	-106
15:11:47	31.5	26.5	-2.0	-103
15:11:49	31.5	26.5	-2.7	-105
15:11:50	31.5	26.5	-3.5	-102
15:11:52	31.5	26.6	-4.2	-105
15:11:53	31.6	26.6	-4.9	-102
15:11:55	31.6	26.7	-5.6	-103
15:11:57	31.6	26.6	-6.3	-102
15:11:58	31.7	26.7	-6.9	-101
15:12:00	31.7	26.6	-7.6	-102
15:12:01	31.7	26.6	-8.3	-102
15:12:03	31.6	26.6	-8.8	-105
15:12:04	31.6	26.6	-9.5	-105
15:12:06	31.7	26.6	-10.1	-103
15:12:08	31.7	26.6	-10.5	-103
15:12:09	31.7	26.6	-11.2	-100
15:12:11	31.7	26.6	-11.8	-101
15:12:12	31.6	26.6	-12.2	-101
15:12:14	31.6	26.6	-12.8	-102
15:12:16	31.6	26.6	-13.2	-102
15:12:17	31.5	26.6	-13.8	-103
15:12:19	31.6	26.6	-14.3	-101
15:12:20	31.5	26.6	-14.7	-103
15:12:22	31.5	26.6	-15.3	-103
15:12:23	31.5	26.6	-15.7	-102
15:12:25	31.5	26.6	-16.2	-102
15:12:27	31.4	26.6	-16.6	-103
15:12:28	31.4	26.7	-17.1	-102
15:12:30	31.4	26.6	-17.5	-102
15:12:31	31.5	26.6	-17.8	-103
15:12:33	31.5	26.7	-18.3	-101
15:12:34	31.4	26.8	-18.6	-103
15:12:36	31.4	26.7	-19.1	-103
15:12:38	31.4	26.8	-19.4	-103
15:12:39	31.4	26.8	-19.8	-102
15:12:41	31.3	26.7	-20.3	-102
15:12:42	31.3	26.8	-20.6	-102
15:12:44	31.3	26.7	-21.0	-101
15:12:46	31.3	26.7	-21.3	-102
15:12:47	31.3	26.7	-21.6	-101
15:12:49	31.3	26.7	-22.0	-103
15:12:50	31.3	26.6	-22.3	-103
15:12:52	31.2	26.6	-22.6	-102
15:12:53	31.3	26.6	-23.0	-103
15:12:55	31.3	26.6	-23.2	-100
15:12:57	31.3	26.5	-23.5	-102
15:12:58	31.3	26.6	-23.8	-102
15:13:00	31.3	26.6	-24.1	-102
15:13:01	31.3	26.6	-24.4	-103
15:13:03	31.3	26.6	-24.7	-102
15:13:05	31.3	26.6	-24.9	-102
15:13:06	31.3	26.6	-25.2	-103
15:13:08	31.2	26.6	-25.5	-101
15:13:09	31.2	26.7	-25.8	-101
15:13:11	31.2	26.6	-26.0	-101
15:13:12	31.2	26.6	-26.3	-103
15:13:14	31.2	26.6	-26.5	-102
15:13:16	31.2	26.6	-26.8	-101
15:13:17	31.2	26.7	-27.0	-101
15:13:19	31.4	26.7	-27.0	-101
15:13:20	31.3	26.7	-27.3	-102
15:13:22	31.3	26.6	-27.5	-101
15:13:23	31.3	26.6	-27.7	-101
15:13:25	31.3	26.7	-28.0	-101
15:13:27	31.3	26.6	-28.2	-101
15:13:28	31.3	26.6	-28.4	-101
15:13:30	31.3	26.6	-28.5	-102
15:13:31	31.3	26.6	-28.8	-101
15:13:33	31.3	26.6	-29.0	-101
15:13:35	31.3	26.6	-29.1	-101
15:13:36	31.3	26.6	-29.3	-101
15:13:38	31.3	26.5	-29.5	-101
15:13:39	31.3	26.6	-29.7	-103
15:13:41	31.3	26.6	-29.7	-100
15:13:42	31.3	26.7	-30.0	-101
15:13:44	31.3	26.8	-30.1	-101
15:13:46	31.3	26.7	-30.3	-102
15:13:47	31.3	26.7	-30.5	-101
15:13:49	31.3	26.7	-30.6	-102
15:13:50	31.3	26.7	-30.7	-101
15:13:52	31.3	26.7	-30.9	-102
15:13:54	31.3	26.8	-31.1	-101
15:13:55	31.2	27.0	-31.2	-100
15:13:57	31.2	27.0	-31.3	-101
15:13:58	31.3	27.1	-31.4	-101
15:14:00	31.2	27.1	-31.6	-101
15:14:01	31.3	27.0	-31.7	-103
15:14:03	31.2	26.9	-31.8	-102
15:14:05	31.3	26.9	-31.9	-101
15:14:06	31.3	26.9	-32.0	-100
15:14:08	31.3	26.9	-32.2	-101
15:14:09	31.3	26.9	-32.3	-101
15:14:11	31.3	26.9	-32.4	-102
15:14:13	31.2	26.9	-32.6	-100
15:14:14	31.2	26.9	-32.7	-102
15:14:16	31.2	26.9	-32.7	-100
15:14:17	31.2	26.9	-32.9	-102
15:14:19	31.2	26.8	-33.0	-100
15:14:20	31.1	26.8	-33.1	-100
15:14:22	31.2	26.8	-33.2	-100
15:14:24	31.1	26.8	-33.3	-101
