time	T hot	T water	T cold	mBar
11:41:32	25.4	25.4	25.2	8015
11:41:33	25.4	25.4	25.2	8017
11:41:35	25.4	25.4	25.2	8017
11:41:36	25.4	25.4	25.3	8017
11:41:38	25.4	25.4	25.2	8017
11:41:39	25.4	25.4	25.2	8013
11:41:41	25.4	25.4	25.2	8017
11:41:43	25.4	25.4	25.2	8015
11:41:44	25.4	25.4	25.2	8013
11:41:46	25.4	25.4	25.2	8014
11:41:47	25.4	25.4	25.2	8010
11:41:49	25.4	25.4	25.2	8010
11:41:51	25.4	25.4	25.3	8010
11:41:52	25.4	25.4	25.2	8008
11:41:54	25.4	25.4	25.2	8007
11:41:55	25.4	25.4	25.2	8009
11:41:57	25.4	25.4	25.3	8007
11:41:59	25.4	25.4	25.3	8009
11:42:00	25.4	25.4	25.3	8008
11:42:02	25.4	25.4	25.3	8005
11:42:03	25.4	25.4	25.3	8007
11:42:05	25.5	25.4	25.3	8004
11:42:07	25.5	25.4	25.3	8004
11:42:08	25.4	25.5	25.3	8003
11:42:10	25.4	25.4	25.3	8003
11:42:11	25.4	25.5	25.3	8003
11:42:13	25.4	25.4	25.3	8002
11:42:15	25.5	25.4	25.3	8002
11:42:16	25.5	25.4	25.3	8002
11:42:18	25.5	25.4	25.3	8002
11:42:19	25.5	25.4	25.3	8002
11:42:21	25.5	25.4	25.3	8002
11:42:23	25.5	25.4	25.3	7998
11:42:24	25.5	25.4	25.3	7999
11:42:26	25.5	25.4	25.3	7998
11:42:27	25.4	25.4	25.3	7998
11:42:29	25.4	25.4	25.3	7997
11:42:31	25.5	25.3	25.3	7997
11:42:32	25.5	25.3	25.3	7996
11:42:34	25.5	25.3	25.3	7994
11:42:35	25.4	25.3	25.3	7994
11:42:37	25.4	25.3	25.2	7992
11:42:39	25.4	25.3	25.2	7993
11:42:40	25.4	25.3	25.3	7991
11:42:42	25.4	25.3	25.3	7991
11:42:43	25.5	25.3	25.3	7992
11:42:45	25.5	25.3	25.3	7989
11:42:47	25.5	25.3	25.3	7989
11:42:48	25.5	25.3	25.3	7988
11:42:50	25.5	25.3	25.3	7988
11:42:51	25.4	25.3	25.3	7988
11:42:53	25.4	25.3	25.2	7988
11:42:55	25.4	25.3	25.2	7988
11:42:56	25.4	25.3	25.2	7988
11:42:58	25.4	25.3	25.2	7987
11:42:59	25.4	25.3	25.2	7987
11:43:01	25.4	25.3	25.2	7984
11:43:03	25.4	25.3	25.2	7984
11:43:04	25.4	25.3	25.2	7983
11:43:06	25.4	25.3	25.2	7984
11:43:07	25.4	25.3	25.2	7979
11:43:09	25.3	25.3	25.2	7981
11:43:11	25.4	25.3	25.2	7981
11:43:12	25.4	25.3	25.2	7982
11:43:14	25.4	25.3	25.3	7981
11:43:15	25.4	25.4	25.3	7978
11:43:17	25.4	25.4	25.3	7979
11:43:18	25.4	25.4	25.3	7979
11:43:20	25.4	25.4	25.3	7977
11:43:22	25.4	25.4	25.3	7977
11:43:23	25.4	25.4	25.3	7977
11:43:25	25.4	25.4	25.3	7975
