time	T hot	T water	T cold	mBar
14:15:43	18.2	25.7	18.0	8322
14:15:45	18.2	25.7	18.0	8321
14:15:47	18.4	25.6	18.1	8321
14:15:48	18.4	25.6	18.1	8320
14:15:50	18.4	25.6	18.1	8319
14:15:51	18.4	25.6	18.1	8320
14:15:53	18.4	25.5	18.1	8320
14:15:54	18.4	25.5	18.1	8321
14:15:56	18.3	25.5	18.1	8320
14:15:58	18.4	25.5	18.1	8321
14:15:59	18.4	25.5	18.2	8320
14:16:01	18.4	25.5	18.2	8321
14:16:02	18.4	25.5	18.1	8322
14:16:04	18.4	25.5	18.2	8321
14:16:06	24.7	25.5	17.6	8320
14:16:07	18.6	25.5	16.5	8319
14:16:09	16.1	25.5	15.6	8316
14:16:10	14.8	25.5	14.9	8315
14:16:12	14.1	25.5	14.0	8311
14:16:13	13.8	25.4	13.2	8310
14:16:15	13.5	25.5	12.4	8307
14:16:17	13.3	25.4	11.6	8305
14:16:18	13.1	25.5	10.9	8302
14:16:20	13.0	25.4	10.1	8301
14:16:21	12.8	25.4	9.4	8298
14:16:23	12.8	25.4	8.8	8296
14:16:24	12.8	25.4	8.1	8294
14:16:26	12.7	25.5	7.4	8293
14:16:28	12.7	25.5	6.7	8290
14:16:29	12.7	25.5	6.1	8289
14:16:31	12.6	25.4	5.4	8284
14:16:32	12.7	25.5	5.0	8283
14:16:34	12.7	25.5	4.2	8280
14:16:36	12.7	25.4	3.6	8278
14:16:37	12.7	25.4	3.1	8278
14:16:39	12.7	25.4	2.4	8273
14:16:40	12.7	25.4	1.9	8275
14:16:42	12.7	25.4	1.3	8268
14:16:43	12.7	25.4	0.8	8268
14:16:45	12.8	25.5	0.3	8267
14:16:47	12.8	25.5	-0.2	8265
14:16:48	12.8	25.5	-0.8	8262
14:16:50	12.8	25.5	-1.2	8262
14:16:51	12.9	25.5	-1.8	8258
14:16:53	12.8	25.5	-2.3	8255
14:16:54	12.9	25.5	-2.7	8254
14:16:56	12.9	25.5	-3.2	8250
14:16:58	12.9	25.5	-3.8	8250
14:16:59	12.9	25.6	-4.2	8247
14:17:01	13.0	25.6	-4.7	8247
14:17:02	13.0	25.6	-5.3	8243
14:17:04	13.1	25.6	-5.6	8243
14:17:06	13.1	25.6	-6.1	8241
14:17:07	13.1	25.5	-6.6	8237
