time	T hot	T cold	mBar
14:22:17	22.5	22.5	45
14:22:19	22.6	22.6	44
14:22:21	22.6	22.6	45
14:22:22	22.6	22.6	46
14:22:24	22.6	22.6	45
14:22:25	22.6	22.6	45
14:22:27	22.6	22.6	45
14:22:28	22.6	22.6	46
14:22:30	22.6	22.6	46
14:22:32	22.6	22.6	-158
14:22:33	22.6	22.6	-251
14:22:35	22.6	22.7	-377
14:22:36	22.6	22.6	-428
14:22:38	22.6	22.6	-528
14:22:40	22.6	22.7	-564
14:22:41	22.7	22.7	-623
14:22:43	22.6	22.6	-670
14:22:44	22.6	22.6	-699
14:22:46	22.6	22.6	-727
14:22:47	22.6	22.6	-743
14:22:49	22.7	22.7	-764
14:22:51	22.7	22.7	-771
14:22:52	22.6	22.7	-787
14:22:54	22.6	22.7	-795
14:22:55	22.6	22.6	-805
14:22:57	22.7	22.7	-810
14:22:58	22.7	22.7	-818
14:23:00	22.7	22.7	-820
14:23:02	22.6	22.6	-823
14:23:03	22.6	22.6	-825
14:23:05	22.6	22.6	-831
14:23:06	22.6	22.6	-834
14:23:08	22.6	22.7	-835
14:23:10	22.6	22.6	-835
14:23:11	22.6	22.6	-837
14:23:13	22.6	22.6	-836
14:23:14	22.6	22.6	-837
14:23:16	22.6	22.6	-837
14:23:17	22.6	22.6	-839
14:23:19	22.6	22.6	-841
14:23:21	22.6	22.6	-842
14:23:22	22.6	22.6	-839
14:23:24	22.6	22.6	-839
14:23:25	22.6	22.6	-841
14:23:27	22.6	22.6	-841
14:23:28	22.6	22.6	-842
14:23:30	22.6	22.6	-841
14:23:32	22.6	22.6	-842
14:23:33	22.6	22.6	-841
14:23:35	22.6	22.6	-839
14:23:36	22.5	22.5	-842
14:23:38	22.6	22.6	-841
14:23:39	22.5	22.5	-844
14:23:41	22.6	22.6	-841
14:23:43	22.6	22.6	-841
14:23:44	22.5	22.5	-841
14:23:46	22.5	22.5	-841
14:23:47	22.5	22.5	-841
14:23:49	22.5	22.6	-842
14:23:51	22.5	22.6	-842
14:23:52	22.5	22.5	-844
14:23:54	22.5	22.5	-840
14:23:55	22.5	22.5	-840
14:23:57	22.5	22.5	-842
14:23:58	22.5	22.5	-844
14:24:00	22.4	22.5	-841
14:24:02	22.5	22.4	-842
14:24:03	22.5	22.5	-839
14:24:05	22.5	22.5	-842
14:24:06	24.5	21.9	-842
14:24:08	24.7	21.1	-841
14:24:09	18.7	20.3	-840
14:24:11	15.9	19.4	-842
14:24:13	14.7	18.6	-841
14:24:14	14.0	17.7	-839
14:24:16	13.4	16.9	-842
14:24:17	13.1	16.2	-841
14:24:19	12.8	15.4	-844
14:24:21	12.6	14.6	-842
14:24:22	12.5	13.9	-842
14:24:24	12.2	13.1	-842
14:24:25	12.1	12.3	-842
14:24:27	12.0	11.7	-844
14:24:28	11.9	10.9	-844
14:24:30	11.9	10.2	-841
14:24:32	11.8	9.6	-842
14:24:33	11.7	8.9	-841
14:24:35	11.7	8.2	-841
14:24:36	11.6	7.6	-842
14:24:38	11.7	7.0	-842
14:24:39	11.7	6.4	-841
14:24:41	11.7	5.8	-844
14:24:43	11.6	5.1	-842
14:24:44	11.7	4.5	-844
14:24:46	11.6	3.8	-841
14:24:47	11.6	3.3	-842
14:24:49	11.6	2.7	-844
14:24:51	11.6	2.1	-842
14:24:52	11.6	1.5	-841
14:24:54	11.6	0.9	-841
14:24:55	11.6	0.4	-841
14:24:57	11.6	-0.0	-842
14:24:59	11.6	-0.6	-841
14:25:00	11.7	-1.1	-841
14:25:02	11.7	-1.6	-841
14:25:03	11.7	-2.2	-842
14:25:05	11.7	-2.6	-841
14:25:06	11.7	-3.2	-841
14:25:08	11.7	-3.7	-842
14:25:10	11.8	-4.1	-841
14:25:11	11.7	-4.6	-841
14:25:13	11.8	-5.1	-844
14:25:14	11.8	-5.6	-844
14:25:16	11.8	-6.1	-845
14:25:18	11.7	-6.6	-845
14:25:19	11.7	-7.1	-842
14:25:21	11.8	-7.6	-842
14:25:22	11.8	-8.0	-842
14:25:24	11.8	-8.4	-844
14:25:25	11.7	-8.9	-841
