time	T hot	T cold	mBar
09:12:16	2000	2000	5684
09:12:17	2000	2000	5685
09:12:18	2000	2000	5684
09:12:20	2000	2000	5685
09:12:21	2000	2000	5685
09:12:22	2000	2000	5686
09:12:24	2000	2000	5684
09:12:25	2000	2000	5684
09:12:26	2000	2000	5685
09:12:27	2000	2000	5685
09:12:29	2000	2000	5684
09:12:30	2000	2000	5684
09:12:31	2000	2000	5684
09:12:33	2000	2000	5684
09:12:34	2000	2000	5685
09:12:35	2000	2000	5684
09:12:37	2000	2000	5685
09:12:38	2000	2000	5685
09:12:39	2000	2000	5684
09:12:41	2000	2000	5684
09:12:42	2000	2000	5685
09:12:43	2000	2000	5684
09:12:45	2000	2000	5685
09:12:46	2000	2000	5684
09:12:47	2000	2000	5684
09:12:49	2000	2000	5684
09:12:50	2000	2000	5684
09:12:51	2000	2000	5685
09:12:53	2000	2000	5684
09:12:54	2000	2000	5684
09:12:55	2000	2000	5684
09:12:57	2000	2000	5685
09:12:58	2000	2000	5685
09:12:59	2000	2000	5685
09:13:01	2000	2000	5684
09:13:02	2000	2000	5685
09:13:03	2000	2000	5685
09:13:05	2000	2000	5682
09:13:06	2000	2000	5682
09:13:07	2000	2000	5685
09:13:09	2000	2000	5681
09:13:10	2000	2000	5684
09:13:11	2000	2000	5684
09:13:13	2000	2000	5685
09:13:14	2000	2000	5684
09:13:15	2000	2000	5685
09:13:17	2000	2000	5684
09:13:18	2000	2000	5684
09:13:19	2000	2000	5684
09:13:21	2000	2000	5684
