time	T hot	T mid	T cold	mBar
10:27:49	27.2	27.2	27.0	-955
10:27:51	27.2	27.2	27.0	-956
10:27:52	27.2	27.2	27.0	-955
10:27:54	27.2	27.2	27.7	-957
10:27:55	27.3	27.2	30.0	-955
10:27:57	27.5	27.3	30.9	-955
10:27:59	27.7	27.2	31.5	-956
10:28:00	27.9	27.2	32.1	-955
10:28:02	28.2	27.2	32.5	-956
10:28:03	28.3	27.2	32.9	-956
10:28:05	28.5	27.2	33.4	-956
10:28:06	28.8	27.2	33.8	-956
10:28:08	28.9	27.3	34.1	-956
10:28:10	29.1	27.3	34.5	-955
10:28:11	29.3	27.3	34.8	-956
10:28:13	29.5	27.3	35.1	-955
10:28:14	29.6	27.3	35.4	-955
10:28:16	29.8	27.4	35.7	-954
10:28:17	30.0	27.4	36.0	-955
10:28:19	30.2	27.3	36.3	-954
10:28:21	30.4	27.4	36.5	-955
10:28:22	30.5	27.4	36.8	-955
10:28:24	30.7	27.4	37.0	-956
10:28:25	30.8	27.3	37.3	-952
10:28:27	31.0	27.3	37.5	-955
10:28:29	31.1	27.3	37.7	-955
10:28:30	31.4	27.3	38.0	-954
10:28:32	31.6	27.5	38.2	-955
10:28:33	31.7	27.5	38.4	-956
10:28:35	31.8	27.5	38.5	-955
10:28:36	31.9	27.5	38.8	-955
10:28:38	32.1	27.5	38.9	-954
10:28:40	32.2	27.4	39.1	-954
10:28:41	32.3	27.4	39.2	-955
10:28:43	32.4	27.4	39.4	-955
10:28:44	32.6	27.5	39.5	-955
10:28:46	32.7	27.5	39.7	-955
10:28:48	32.8	27.4	39.8	-956
10:28:49	32.9	27.4	40.0	-952
10:28:51	33.0	27.4	40.1	-954
10:28:52	33.1	27.5	40.2	-956
10:28:54	33.3	27.4	40.4	-956
10:28:55	33.4	27.4	40.5	-956
10:28:57	33.5	27.5	40.6	-957
10:28:59	33.6	27.5	40.8	-956
10:29:00	33.7	27.4	40.9	-955
10:29:02	33.8	27.5	41.0	-956
10:29:03	33.9	27.5	41.1	-956
10:29:05	34.0	27.5	41.2	-956
10:29:07	34.1	27.5	41.3	-957
10:29:08	34.2	27.5	41.4	-956
10:29:10	34.3	27.5	41.5	-956
10:29:11	34.4	27.5	41.6	-956
10:29:13	34.4	27.5	41.7	-957
10:29:14	34.5	27.5	41.8	-957
10:29:16	34.7	27.5	41.9	-956
10:29:18	34.8	27.5	42.1	-959
10:29:19	34.9	27.5	42.1	-956
10:29:21	34.9	27.6	42.2	-957
10:29:23	35.1	27.5	42.3	-959
10:29:24	35.1	27.5	42.4	-959
10:29:26	35.1	27.5	42.4	-959
10:29:27	35.2	27.5	42.5	-959
10:29:29	35.3	27.5	42.6	-959
10:29:30	35.4	27.6	42.7	-956
10:29:32	35.5	27.6	42.8	-959
10:29:34	35.6	27.6	42.8	-957
10:29:35	35.6	27.6	42.9	-959
10:29:37	35.7	27.6	42.9	-959
10:29:38	35.7	27.6	43.0	-960
10:29:40	35.9	27.7	43.2	-957
10:29:42	36.0	27.7	43.2	-957
10:29:43	36.0	27.7	43.3	-957
10:29:45	36.1	27.7	43.4	-957
10:29:46	36.1	27.7	43.4	-959
10:29:48	36.2	27.7	43.5	-960
10:29:50	36.3	27.6	43.6	-957
10:29:51	36.3	27.7	43.6	-959
10:29:53	36.4	27.8	43.7	-959
10:29:54	36.5	27.8	43.7	-959
10:29:56	36.5	27.9	43.8	-957
10:29:57	36.6	27.8	43.8	-957
10:29:59	36.6	27.7	43.9	-959
10:30:01	36.7	27.8	44.0	-960
10:30:02	36.8	27.8	44.0	-960
10:30:04	36.9	27.8	44.1	-959
10:30:05	36.9	27.8	44.2	-959
10:30:07	37.0	27.7	44.2	-960
10:30:08	37.0	27.7	44.3	-957
10:30:10	37.1	27.7	44.4	-959
10:30:12	37.2	27.7	44.3	-960
10:30:13	37.2	27.6	44.4	-960
10:30:15	37.2	27.6	44.5	-962
10:30:16	37.3	27.7	44.5	-960
10:30:18	37.3	27.7	44.6	-961
10:30:19	37.4	27.7	44.6	-960
10:30:21	37.4	27.6	44.6	-960
10:30:23	37.5	27.6	44.7	-961
