time	T hot	T cold	mBar
10:29:58	22.4	22.4	-860
10:30:00	22.4	22.4	-862
10:30:01	22.4	22.3	-861
10:30:03	25.2	21.6	-860
10:30:04	20.6	20.7	-861
10:30:06	16.8	19.9	-860
10:30:07	15.0	19.0	-862
10:30:09	14.1	18.2	-862
10:30:11	13.6	17.4	-861
10:30:12	13.2	16.7	-861
10:30:14	12.9	15.8	-861
10:30:15	12.6	15.1	-862
10:30:17	12.4	14.3	-861
10:30:18	12.3	13.5	-860
10:30:20	12.2	12.9	-860
10:30:22	12.1	12.2	-861
10:30:23	12.0	11.4	-862
10:30:25	12.0	10.8	-862
10:30:26	11.9	10.1	-861
10:30:28	11.9	9.3	-860
10:30:29	11.9	8.7	-861
10:30:31	11.9	8.1	-862
10:30:33	11.8	7.3	-861
10:30:34	11.8	6.7	-862
10:30:36	11.8	6.2	-860
10:30:37	11.9	5.6	-862
10:30:39	11.9	5.0	-862
10:30:40	11.9	4.5	-863
10:30:42	11.9	3.8	-862
10:30:44	11.9	3.2	-863
10:30:45	11.9	2.7	-862
10:30:47	11.9	2.1	-863
10:30:48	11.9	1.5	-861
10:30:50	11.9	1.0	-862
10:30:51	11.9	0.4	-862
10:30:53	11.9	-0.1	-863
10:30:55	11.9	-0.6	-863
10:30:56	11.9	-1.1	-863
10:30:58	11.9	-1.7	-862
10:30:59	11.9	-2.1	-862
10:31:01	12.0	-2.6	-862
10:31:02	12.0	-3.2	-862
10:31:04	12.0	-3.6	-862
10:31:06	12.0	-4.1	-862
10:31:07	12.0	-4.6	-862
10:31:09	12.0	-5.1	-862
10:31:10	12.1	-5.6	-862
10:31:12	12.1	-6.0	-862
10:31:13	12.1	-6.5	-861
10:31:15	12.1	-6.9	-862
10:31:16	12.1	-7.4	-861
10:31:18	12.1	-7.9	-862
10:31:20	12.1	-8.3	-862
10:31:21	12.2	-8.8	-861
10:31:23	12.1	-9.3	-862
10:31:24	12.1	-9.7	-863
10:31:26	12.1	-10.2	-863
10:31:28	12.1	-10.6	-862
10:31:29	12.1	-11.0	-862
10:31:31	12.1	-11.4	-861
10:31:32	12.1	-11.8	-861
10:31:34	12.1	-12.2	-863
10:31:35	12.1	-12.6	-860
10:31:37	12.1	-13.0	-862
10:31:39	12.2	-13.4	-862
10:31:40	12.1	-13.8	-862
10:31:42	12.2	-14.2	-862
10:31:43	12.2	-14.5	-862
10:31:45	12.2	-15.0	-862
10:31:46	12.2	-15.3	-863
10:31:48	12.2	-15.7	-861
10:31:50	12.2	-16.0	-861
10:31:51	12.2	-16.4	-862
10:31:53	12.2	-16.7	-860
10:31:54	12.2	-17.1	-862
10:31:56	12.2	-17.4	-861
10:31:57	12.2	-17.7	-861
10:31:59	12.2	-18.1	-861
10:32:01	12.2	-18.5	-861
10:32:02	12.2	-18.8	-863
10:32:04	12.2	-19.1	-863
10:32:05	12.2	-19.4	-863
10:32:07	12.2	-19.7	-861
10:32:08	12.2	-20.1	-862
10:32:10	12.2	-20.3	-862
10:32:12	12.2	-20.6	-862
10:32:13	12.2	-21.0	-862
10:32:15	12.2	-21.3	-862
10:32:16	12.2	-21.6	-862
10:32:18	12.3	-21.9	-861
10:32:19	12.2	-22.1	-862
10:32:21	12.3	-22.4	-862
10:32:23	12.3	-22.7	-861
10:32:24	12.2	-22.9	-861
10:32:26	12.2	-23.3	-861
10:32:27	12.2	-23.5	-862
10:32:29	12.2	-23.8	-861
10:32:30	12.2	-24.1	-862
10:32:32	12.2	-24.3	-862
10:32:34	12.3	-24.6	-862
10:32:35	12.2	-24.8	-861
10:32:37	12.2	-25.1	-862
10:32:38	12.2	-25.4	-862
10:32:40	12.3	-25.6	-862
10:32:41	12.2	-25.9	-863
10:32:43	12.2	-26.1	-863
10:32:45	12.2	-26.3	-862
10:32:46	12.2	-26.6	-863
10:32:48	12.2	-26.8	-862
10:32:49	12.2	-27.0	-861
10:32:51	12.2	-27.3	-862
10:32:52	12.2	-27.5	-862
10:32:54	12.2	-27.7	-861
10:32:56	12.2	-28.0	-862
10:32:57	12.1	-28.3	-863
10:32:59	12.2	-28.4	-865
10:33:00	12.2	-28.7	-862
10:33:02	12.2	-28.9	-863
10:33:03	12.2	-29.1	-861
10:33:05	12.2	-29.3	-862
10:33:07	12.1	-29.5	-863
10:33:08	12.2	-29.7	-861
10:33:10	12.1	-29.9	-862
10:33:11	12.1	-30.1	-862
10:33:13	12.1	-30.4	-863
10:33:14	12.1	-30.6	-863
10:33:16	12.1	-30.7	-863
10:33:18	12.1	-30.9	-862
10:33:19	12.0	-31.2	-862
10:33:21	12.0	-31.4	-862
10:33:22	12.0	-31.6	-865
10:33:24	12.0	-31.7	-862
10:33:26	12.0	-31.9	-861
10:33:27	12.0	-32.1	-861
10:33:29	12.0	-32.3	-862
10:33:30	12.0	-32.5	-862
10:33:32	12.0	-32.7	-861
10:33:33	12.0	-32.8	-861
10:33:35	12.0	-33.0	-860
10:33:37	12.0	-33.1	-860
10:33:38	12.0	-33.4	-862
10:33:40	11.9	-33.5	-861
10:33:41	11.9	-33.6	-862
10:33:43	12.0	-33.8	-861
10:33:44	12.0	-33.9	-863
10:33:46	11.9	-34.1	-862
10:33:48	11.9	-34.2	-861
10:33:49	11.9	-34.4	-862
10:33:51	11.9	-34.6	-862
10:33:52	11.9	-34.7	-861
10:33:54	11.9	-34.8	-862
10:33:55	11.8	-35.0	-861
10:33:57	11.8	-35.2	-861
10:33:59	11.8	-35.3	-861
10:34:00	11.9	-35.4	-863
10:34:02	11.9	-35.6	-862
10:34:03	11.9	-35.7	-863
10:34:05	11.8	-35.8	-861
10:34:06	11.8	-36.0	-862
10:34:08	11.8	-36.1	-862
10:34:10	11.8	-36.2	-862
10:34:11	11.8	-36.3	-861
10:34:13	11.8	-36.5	-861
10:34:14	11.8	-36.6	-862
10:34:16	11.8	-36.7	-861
10:34:17	11.8	-36.9	-861
10:34:19	11.8	-37.0	-861
10:34:21	11.7	-37.1	-861
10:34:22	11.8	-37.3	-861
10:34:24	11.8	-37.3	-861
10:34:25	11.7	-37.5	-862
10:34:27	11.7	-37.7	-860
10:34:28	11.7	-37.7	-861
10:34:30	11.7	-37.8	-863
10:34:32	11.7	-37.9	-861
10:34:33	11.6	-38.1	-863
10:34:35	11.6	-38.2	-863
10:34:36	11.6	-38.3	-860
10:34:38	11.6	-38.4	-862
10:34:39	11.6	-38.5	-862
10:34:41	11.6	-38.6	-862
10:34:43	11.6	-38.7	-862
