time	T hot	T water	T cold	mBar
16:00:06	25.1	25.4	25.1	7604
16:00:08	25.1	25.4	25.0	7603
16:00:09	25.0	25.4	25.0	7603
16:00:11	25.0	25.4	24.9	7602
16:00:13	25.0	25.4	24.9	7602
16:00:14	25.0	25.4	24.9	7600
16:00:16	25.0	25.4	24.9	7600
16:00:17	25.0	25.3	24.9	7601
16:00:19	25.0	25.3	24.9	7598
16:00:21	25.0	25.3	25.0	7598
16:00:22	25.0	25.3	24.9	7596
16:00:24	24.9	25.3	24.9	7596
16:00:25	25.0	25.3	24.9	7595
16:00:27	25.0	25.3	24.9	7595
16:00:28	25.0	25.2	24.9	7595
16:00:30	25.0	25.3	24.9	7593
16:00:32	24.9	25.2	24.9	7592
16:00:33	25.0	25.2	24.9	7591
16:00:35	25.0	25.2	25.0	7591
16:00:36	25.0	25.2	25.0	7588
16:00:38	25.0	25.3	25.0	7591
16:00:40	25.1	25.3	25.0	7590
16:00:41	25.0	25.3	25.1	7588
16:00:43	25.1	25.3	25.0	7590
16:00:44	25.1	25.3	25.0	7588
16:00:46	25.0	25.3	25.0	7588
16:00:48	25.0	25.3	25.0	7587
16:00:49	25.1	25.3	25.0	7588
16:00:51	25.1	25.3	25.0	7586
16:00:52	25.1	25.2	25.1	7587
16:00:54	25.0	25.3	25.0	7583
16:00:55	25.0	25.3	25.0	7583
16:00:57	25.1	25.3	25.0	7582
16:00:59	25.1	25.3	25.0	7581
16:01:00	25.0	25.2	25.1	7581
16:01:02	25.0	25.3	25.0	7582
16:01:03	25.1	25.3	25.0	7580
16:01:05	25.0	25.4	25.0	7578
16:01:07	25.1	25.3	25.0	7577
16:01:08	25.1	25.4	25.1	7578
16:01:10	25.0	25.3	25.0	7577
16:01:11	25.1	25.3	25.0	7577
16:01:13	25.1	25.3	25.1	7577
16:01:14	25.0	25.3	25.0	7577
16:01:16	25.0	25.2	25.0	7576
16:01:18	25.0	25.3	25.0	7575
16:01:19	25.1	25.3	25.0	7576
16:01:21	25.1	25.3	25.1	7576
16:01:22	25.1	25.3	25.1	7574
16:01:24	25.1	25.3	25.1	7575
16:01:26	25.1	25.3	25.1	7575
16:01:27	25.1	25.3	25.1	7576
16:01:29	25.2	25.3	25.1	7575
16:01:30	25.1	25.3	25.1	7575
16:01:32	25.1	25.3	25.1	7572
16:01:34	25.1	25.3	25.1	7571
16:01:35	25.1	25.3	25.1	7570
16:01:37	25.1	25.3	25.1	7570
16:01:38	25.1	25.3	25.1	7569
16:01:40	25.1	25.3	25.0	7570
16:01:41	25.1	25.3	25.1	7567
16:01:43	25.1	25.3	25.0	7565
16:01:45	25.0	25.3	25.0	7566
16:01:46	25.0	25.3	25.0	7567
16:01:48	25.0	25.3	25.0	7566
16:01:49	25.1	25.3	25.1	7565
16:01:51	25.1	25.3	25.1	7564
16:01:53	25.1	25.3	25.1	7564
16:01:54	25.1	25.3	25.1	7562
16:01:56	25.1	25.3	25.1	7561
16:01:57	25.1	25.3	25.1	7561
16:01:59	25.1	25.3	25.0	7561
16:02:00	25.0	25.3	25.1	7561
16:02:02	25.1	25.3	25.1	7560
16:02:04	25.1	25.3	25.1	7561
16:02:05	25.1	25.3	25.0	7560
16:02:07	25.0	25.3	25.0	7560
16:02:08	25.0	25.3	25.1	7559
16:02:10	25.0	25.3	25.1	7559
16:02:12	25.1	25.3	25.0	7559
16:02:13	25.0	25.3	25.0	7557
16:02:15	25.0	25.3	25.0	7556
16:02:16	25.0	25.3	25.0	7556
16:02:18	25.1	25.3	25.0	7556
16:02:19	25.1	25.3	25.1	7554
16:02:21	25.1	25.3	25.0	7554
16:02:23	25.1	25.3	25.0	7554
16:02:24	25.0	25.3	25.0	7552
16:02:26	25.1	25.3	25.0	7550
16:02:27	25.0	25.4	25.0	7551
16:02:29	25.1	25.3	25.1	7551
16:02:30	25.1	25.4	25.0	7549
16:02:32	25.1	25.4	25.0	7549
16:02:34	25.1	25.4	25.0	7549
16:02:35	25.1	25.4	25.0	7548
16:02:37	25.1	25.4	25.1	7548
16:02:38	25.1	25.4	25.0	7545
16:02:40	25.1	25.4	25.1	7548
16:02:42	25.0	25.5	25.0	7546
16:02:43	25.0	25.4	25.0	7548
16:02:45	25.1	25.4	25.1	7546
16:02:46	25.1	25.4	25.1	7546
16:02:48	25.0	25.4	25.0	7545
16:02:49	25.1	25.3	25.1	7545
16:02:51	25.1	25.4	25.1	7544
16:02:53	25.1	25.3	25.0	7544
16:02:54	25.1	25.4	25.1	7543
16:02:56	25.1	25.3	25.0	7540
16:02:57	25.1	25.4	25.0	7541
16:02:59	25.1	25.3	25.0	7540
16:03:01	25.1	25.3	25.0	7540
16:03:02	25.1	25.2	25.1	7540
16:03:04	25.0	25.3	25.0	7540
16:03:05	25.0	25.2	25.0	7539
16:03:07	25.0	25.3	25.0	7539
16:03:08	25.0	25.3	25.0	7539
16:03:10	25.0	25.3	25.0	7538
16:03:12	25.0	25.3	25.0	7538
16:03:13	25.0	25.3	25.0	7534
16:03:15	25.0	25.3	25.0	7533
16:03:16	25.0	25.3	25.0	7533
16:03:18	25.0	25.3	25.0	7534
16:03:19	25.1	25.3	25.1	7533
16:03:21	25.0	25.3	25.0	7533
16:03:23	25.0	25.3	25.0	7531
16:03:24	25.0	25.3	25.1	7531
16:03:26	25.0	25.3	25.0	7531
16:03:27	25.0	25.3	25.1	7531
16:03:29	25.0	25.3	25.0	7530
16:03:31	25.0	25.3	25.1	7529
16:03:32	25.0	25.3	25.1	7529
16:03:34	25.0	25.3	25.0	7530
16:03:35	25.0	25.2	25.0	7528
16:03:37	25.0	25.3	25.0	7530
16:03:38	25.0	25.3	25.0	7526
16:03:40	25.0	25.3	25.0	7528
16:03:42	25.0	25.3	25.0	7526
16:03:43	25.1	25.3	25.1	7525
16:03:45	25.0	25.3	25.1	7525
16:03:46	25.0	25.2	25.0	7524
16:03:48	25.0	25.3	25.0	7523
16:03:50	25.0	25.2	25.0	7523
16:03:51	25.0	25.3	25.0	7523
16:03:53	25.0	25.3	25.0	7522
16:03:54	25.0	25.3	25.0	7522
16:03:56	25.0	25.3	25.0	7519
16:03:57	25.0	25.2	25.0	7519
16:03:59	25.0	25.3	25.0	7520
16:04:01	25.0	25.3	25.0	7519
16:04:02	25.0	25.2	25.0	7519
16:04:04	25.0	25.2	25.0	7519
16:04:05	25.0	25.2	25.0	7518
16:04:07	25.0	25.3	25.0	7518
16:04:09	25.0	25.3	25.0	7519
16:04:10	25.0	25.3	25.0	7518
16:04:12	25.0	25.3	25.0	7517
16:04:13	25.0	25.3	25.0	7518
16:04:15	25.0	25.3	25.0	7518
16:04:16	25.0	25.3	25.0	7515
16:04:18	25.0	25.3	25.0	7515
16:04:20	25.0	25.3	25.0	7514
16:04:21	25.0	25.3	25.0	7513
16:04:23	25.0	25.3	25.0	7514
16:04:24	25.0	25.3	25.0	7513
16:04:26	25.0	25.3	25.0	7513
16:04:28	25.0	25.3	25.0	7512
16:04:29	25.0	25.3	25.0	7512
16:04:31	25.0	25.3	25.0	7512
16:04:32	25.0	25.3	25.0	7510
16:04:34	25.0	25.3	25.0	7508
16:04:35	25.0	25.2	25.0	7509
16:04:37	25.0	25.2	25.1	7507
16:04:39	25.0	25.2	25.1	7508
16:04:40	25.0	25.3	25.1	7507
16:04:42	25.0	25.3	25.0	7505
16:04:43	25.0	25.3	25.0	7507
16:04:45	25.0	25.3	25.1	7507
16:04:47	25.0	25.3	25.1	7508
16:04:48	25.0	25.3	25.0	7505
16:04:50	25.0	25.3	25.0	7505
16:04:51	25.0	25.2	25.0	7504
16:04:53	25.0	25.2	25.0	7505
16:04:55	25.0	25.2	25.0	7504
16:04:56	24.9	25.2	25.0	7504
16:04:58	25.0	25.3	25.0	7503
16:04:59	25.0	25.3	25.0	7503
16:05:01	25.0	25.3	25.0	7503
16:05:02	25.0	25.3	25.0	7502
16:05:04	25.0	25.3	25.0	7503
16:05:06	24.9	25.3	25.0	7502
16:05:07	25.0	25.3	25.0	7503
16:05:09	25.0	25.3	25.0	7502
16:05:11	25.0	25.3	25.1	7500
16:05:12	25.0	25.3	25.0	7499
16:05:14	25.0	25.3	25.0	7499
16:05:15	25.0	25.3	25.0	7499
16:05:17	25.0	25.3	25.0	7499
16:05:18	25.0	25.3	25.0	7498
16:05:20	25.0	25.3	25.0	7498
16:05:22	25.0	25.3	25.0	7497
16:05:23	24.9	25.3	24.9	7497
16:05:25	25.0	25.3	25.0	7497
16:05:26	25.0	25.3	25.0	7496
16:05:28	25.0	25.3	25.0	7496
16:05:30	25.0	25.3	25.0	7496
16:05:31	25.0	25.3	25.0	7494
16:05:33	24.9	25.3	25.0	7494
16:05:34	24.9	25.3	25.0	7494
16:05:36	24.9	25.3	25.0	7493
16:05:37	24.9	25.3	25.0	7492
16:05:39	24.9	25.3	24.9	7492
16:05:41	24.9	25.3	24.9	7492
16:05:42	24.9	25.3	24.9	7492
16:05:44	24.9	25.2	25.0	7491
16:05:45	24.9	25.2	25.0	7491
16:05:47	24.9	25.2	25.0	7489
16:05:49	24.9	25.3	24.9	7491
16:05:50	24.9	25.3	24.9	7491
16:05:52	24.9	25.3	24.9	7488
16:05:53	24.9	25.3	24.9	7489
16:05:55	24.9	25.3	25.0	7488
16:05:56	24.9	25.3	25.0	7487
16:05:58	24.9	25.3	25.0	7484
16:06:00	25.0	25.3	25.0	7484
16:06:01	24.9	25.3	24.9	7484
16:06:03	24.9	25.3	24.9	7482
16:06:04	24.9	25.3	24.9	7484
16:06:06	24.9	25.3	24.9	7482
16:06:08	24.9	25.3	24.9	7482
16:06:09	24.9	25.3	24.9	7482
16:06:11	24.9	25.3	24.9	7482
16:06:12	24.9	25.3	24.9	7482
16:06:14	24.9	25.3	24.9	7482
16:06:15	24.9	25.3	24.9	7481
16:06:17	24.9	25.3	24.9	7479
16:06:19	25.0	25.3	25.0	7479
16:06:20	24.9	25.3	24.9	7479
16:06:22	24.9	25.2	24.9	7479
16:06:23	24.9	25.3	25.0	7479
16:06:25	25.0	25.3	25.0	7478
16:06:27	25.0	25.3	25.0	7478
16:06:28	25.0	25.2	25.0	7477
16:06:30	25.0	25.3	25.0	7477
16:06:31	25.0	25.2	25.0	7477
16:06:33	25.0	25.2	25.0	7476
