time	T hot	T cold	mBar
15:29:38	7.1	7.5	-955
15:29:39	7.1	7.5	-955
15:29:40	7.1	7.5	-957
15:29:42	7.2	7.5	-955
15:29:43	7.2	7.6	-956
15:29:44	7.2	7.6	-956
15:29:46	7.2	7.6	-955
15:29:47	7.2	7.6	-954
15:29:48	7.2	7.6	-955
15:29:49	7.2	7.6	-956
15:29:51	7.2	7.7	-955
15:29:52	7.2	7.6	-955
15:29:53	7.2	7.7	-956
15:29:55	7.3	7.7	-956
15:29:56	7.3	7.8	-957
15:29:57	7.3	7.7	-956
15:29:59	7.3	7.8	-957
15:30:00	7.3	7.7	-956
15:30:01	7.3	7.7	-955
15:30:03	8.5	7.5	-956
15:30:04	10.3	6.8	-955
15:30:05	10.6	6.3	-956
15:30:06	10.7	5.6	-957
15:30:08	10.7	5.1	-956
15:30:09	10.7	4.5	-956
15:30:10	10.7	4.0	-956
15:30:12	10.7	3.5	-955
15:30:13	10.7	2.9	-956
15:30:14	10.7	2.5	-955
15:30:16	10.7	1.9	-956
15:30:17	10.6	1.4	-956
15:30:18	10.6	0.9	-957
15:30:20	10.6	0.4	-957
15:30:21	10.6	-0.0	-956
15:30:22	10.6	-0.4	-956
15:30:24	10.6	-0.9	-955
15:30:25	10.6	-1.3	-957
15:30:26	10.6	-1.8	-956
15:30:27	10.6	-2.2	-957
15:30:29	10.6	-2.6	-956
15:30:30	10.6	-3.1	-956
15:30:31	10.6	-3.4	-955
15:30:33	10.6	-3.8	-957
15:30:34	10.6	-4.2	-955
15:30:35	10.6	-4.5	-957
15:30:37	10.6	-4.8	-957
15:30:38	10.6	-5.1	-957
15:30:39	10.6	-5.3	-956
15:30:41	10.6	-5.6	-957
15:30:42	10.6	-5.8	-956
15:30:43	10.6	-6.0	-956
15:30:44	10.6	-6.3	-957
15:30:46	10.6	-6.6	-956
15:30:47	10.7	-6.9	-955
15:30:48	10.6	-7.3	-955
15:30:50	10.6	-7.6	-956
15:30:51	10.7	-7.8	-957
15:30:52	10.7	-8.2	-955
15:30:54	10.7	-8.6	-956
15:30:55	10.7	-8.9	-959
15:30:56	10.7	-9.2	-957
15:30:58	10.7	-9.5	-956
15:30:59	10.7	-9.9	-957
15:31:00	10.7	-10.2	-959
15:31:02	10.7	-10.5	-957
15:31:03	10.7	-10.8	-959
15:31:04	10.6	-11.1	-957
15:31:05	10.6	-11.4	-959
15:31:07	10.6	-11.7	-957
15:31:08	10.6	-12.0	-957
15:31:09	10.6	-12.4	-957
15:31:11	10.7	-12.7	-956
15:31:12	10.6	-12.9	-956
15:31:13	10.7	-13.3	-957
15:31:15	10.7	-13.5	-956
15:31:16	10.6	-14.0	-959
15:31:17	10.7	-14.2	-959
15:31:19	10.7	-14.5	-960
15:31:20	10.7	-14.9	-960
15:31:21	10.7	-15.1	-960
15:31:22	10.7	-15.4	-960
15:31:24	10.7	-15.7	-960
15:31:25	10.7	-16.0	-961
15:31:26	10.6	-16.4	-959
15:31:28	10.6	-16.7	-961
15:31:29	10.6	-17.0	-960
15:31:30	10.6	-17.2	-959
15:31:32	10.6	-17.5	-960
15:31:33	10.6	-17.8	-960
15:31:34	10.6	-18.0	-960
15:31:36	10.6	-18.3	-962
15:31:37	10.6	-18.6	-961
15:31:38	10.6	-18.8	-960
15:31:39	10.6	-19.1	-960
15:31:41	10.6	-19.3	-960
15:31:42	10.6	-19.7	-960
15:31:43	10.6	-19.9	-961
15:31:45	10.6	-20.2	-960
15:31:46	10.6	-20.5	-961
15:31:47	10.6	-20.6	-960
15:31:49	10.6	-20.9	-960
15:31:50	10.6	-21.2	-962
15:31:51	10.6	-21.4	-960
15:31:53	10.6	-21.7	-961
15:31:54	10.6	-21.9	-960
15:31:55	10.6	-22.1	-961
15:31:56	10.6	-22.4	-956
15:31:58	10.6	-22.6	-959
15:31:59	10.6	-22.8	-961
15:32:00	10.6	-23.1	-961
15:32:02	10.6	-23.3	-961
15:32:03	10.6	-23.5	-962
15:32:04	10.6	-23.7	-961
15:32:06	10.6	-23.9	-961
15:32:07	10.6	-24.1	-959
15:32:08	10.6	-24.3	-962
15:32:10	10.6	-24.6	-960
15:32:11	10.6	-24.8	-961
15:32:12	10.6	-25.1	-960
15:32:14	10.5	-25.3	-960
15:32:15	10.6	-25.5	-960
15:32:16	10.6	-25.6	-961
15:32:17	10.6	-25.8	-961
15:32:19	10.6	-26.1	-960
15:32:20	10.6	-26.3	-960
15:32:21	10.6	-26.4	-960
15:32:23	10.6	-26.7	-960
15:32:24	10.6	-26.8	-961
15:32:25	10.6	-27.0	-960
15:32:27	10.6	-27.2	-961
15:32:28	10.6	-27.4	-962
15:32:29	10.6	-27.6	-960
15:32:31	10.6	-27.8	-961
15:32:32	10.6	-27.9	-962
15:32:33	10.6	-28.1	-961
15:32:34	10.6	-28.3	-961
15:32:36	10.6	-28.5	-960
15:32:37	10.6	-28.6	-961
15:32:38	10.6	-28.9	-961
15:32:40	10.5	-29.1	-960
15:32:41	10.6	-29.2	-960
15:32:42	10.6	-29.4	-960
15:32:44	10.6	-29.5	-961
15:32:45	10.6	-29.7	-961
15:32:46	10.6	-29.9	-961
15:32:48	10.6	-30.0	-961
15:32:49	10.6	-30.2	-961
15:32:50	10.6	-30.3	-962
15:32:51	10.6	-30.5	-961
15:32:53	10.6	-30.6	-959
15:32:54	10.6	-30.7	-960
15:32:55	10.6	-30.9	-961
15:32:57	10.6	-31.1	-960
15:32:58	10.6	-31.3	-961
15:32:59	10.6	-31.5	-961
15:33:01	10.6	-31.6	-961
15:33:02	10.6	-31.7	-961
15:33:03	10.6	-31.9	-960
15:33:05	10.6	-32.0	-960
15:33:06	10.6	-32.1	-960
15:33:07	10.6	-32.2	-960
15:33:08	10.6	-32.4	-960
15:33:10	10.6	-32.6	-961
15:33:11	10.6	-32.7	-960
15:33:12	10.6	-32.8	-960
15:33:14	10.6	-32.9	-961
15:33:15	10.6	-33.0	-960
15:33:16	10.6	-33.2	-962
15:33:18	10.6	-33.3	-961
15:33:19	10.6	-33.4	-961
15:33:20	10.6	-33.5	-962
15:33:22	10.7	-33.6	-961
15:33:23	10.6	-33.7	-961
15:33:24	10.6	-33.9	-961
15:33:25	10.6	-34.0	-962
15:33:27	10.6	-34.1	-962
15:33:28	10.7	-34.2	-962
15:33:29	10.7	-34.3	-960
15:33:31	10.6	-34.4	-960
15:33:32	10.6	-34.5	-960
15:33:33	10.7	-34.6	-960
15:33:35	10.7	-34.7	-960
15:33:36	10.7	-34.9	-962
15:33:37	10.7	-35.0	-961
15:33:39	10.7	-35.1	-961
15:33:40	10.7	-35.1	-962
15:33:41	10.7	-35.2	-961
15:33:43	10.7	-35.4	-961
15:33:44	10.7	-35.5	-961
15:33:45	10.7	-35.6	-961
15:33:46	10.6	-35.8	-962
15:33:48	10.7	-35.8	-962
15:33:49	10.6	-36.0	-962
15:33:50	10.6	-36.0	-962
15:33:52	10.7	-36.1	-960
15:33:53	10.7	-36.2	-961
15:33:54	10.7	-36.3	-961
15:33:56	10.7	-36.4	-960
15:33:57	10.7	-36.5	-961
15:33:58	10.7	-36.6	-961
15:34:00	10.7	-36.7	-962
15:34:01	10.7	-36.7	-961
15:34:02	10.7	-36.8	-960
15:34:03	10.7	-36.9	-960
15:34:05	10.7	-37.1	-961
15:34:06	10.7	-37.1	-962
15:34:07	10.7	-37.2	-960
15:34:09	10.7	-37.3	-960
15:34:10	10.7	-37.4	-961
15:34:11	10.7	-37.5	-961
15:34:13	10.6	-37.5	-961
15:34:14	10.7	-37.6	-962
15:34:15	10.7	-37.7	-961
15:34:16	10.7	-37.7	-960
15:34:18	10.7	-37.8	-960
15:34:19	10.7	-38.0	-962
15:34:20	10.7	-38.0	-960
15:34:22	10.7	-38.1	-960
15:34:23	10.7	-38.1	-961
15:34:24	10.7	-38.3	-962
15:34:26	10.7	-38.3	-960
15:34:27	10.8	-38.4	-961
15:34:28	10.7	-38.4	-960
15:34:30	10.8	-38.5	-961
15:34:31	10.8	-38.6	-960
15:34:32	10.7	-38.8	-960
15:34:34	10.7	-38.8	-961
15:34:35	10.7	-38.9	-961
15:34:36	10.7	-38.9	-962
15:34:37	10.7	-39.0	-962
15:34:39	10.7	-39.0	-960
15:34:40	10.7	-39.1	-962
15:34:41	10.7	-39.2	-960
15:34:43	10.7	-39.3	-962
15:34:44	10.7	-39.4	-961
15:34:45	10.7	-39.4	-961
15:34:47	10.7	-39.5	-961
15:34:48	10.7	-39.6	-961
15:34:49	10.7	-39.6	-962
15:34:51	10.7	-39.6	-961
15:34:52	10.7	-39.7	-961
15:34:53	10.7	-39.8	-961
15:34:54	10.7	-39.8	-961
15:34:56	10.7	-39.9	-961
15:34:57	10.7	-40.0	-959
15:34:58	10.7	-40.0	-962
15:35:00	10.7	-40.1	-962
15:35:01	10.7	-40.2	-961
15:35:02	10.7	-40.3	-962
15:35:04	10.7	-40.3	-962
15:35:05	10.7	-40.4	-960
15:35:06	10.7	-40.4	-960
15:35:08	10.7	-40.4	-960
15:35:09	10.7	-40.5	-962
15:35:10	10.7	-40.5	-962
15:35:11	10.7	-40.6	-961
15:35:13	10.7	-40.6	-961
15:35:14	10.7	-40.7	-962
15:35:15	10.7	-40.7	-960
15:35:17	10.7	-40.8	-960
15:35:18	10.7	-40.8	-962
15:35:19	10.7	-40.9	-962
15:35:21	10.8	-40.9	-961
15:35:22	10.8	-41.0	-961
15:35:23	10.8	-41.0	-962
15:35:25	10.8	-41.1	-961
15:35:26	10.8	-41.1	-961
15:35:27	10.8	-41.1	-962
15:35:29	10.8	-41.1	-962
15:35:30	10.9	-41.1	-961
15:35:31	10.8	-41.2	-960
15:35:32	10.8	-41.2	-962
15:35:34	10.8	-41.3	-962
15:35:35	10.8	-41.3	-964
15:35:36	10.8	-41.4	-962
15:35:38	10.8	-41.4	-962
15:35:39	10.8	-41.5	-961
15:35:40	10.8	-41.5	-962
15:35:42	10.8	-41.6	-962
15:35:43	10.7	-41.7	-962
15:35:44	10.8	-41.7	-961
15:35:46	10.7	-41.8	-961
15:35:47	10.8	-41.8	-961
15:35:48	10.7	-41.9	-962
15:35:49	10.8	-41.9	-960
15:35:51	10.7	-42.0	-962
15:35:52	10.7	-42.0	-962
15:35:53	10.7	-42.0	-961
15:35:55	10.7	-42.0	-961
15:35:56	10.7	-42.1	-961
15:35:57	10.7	-42.1	-961
15:35:59	10.7	-42.1	-961
15:36:00	10.7	-42.2	-961
15:36:01	10.8	-42.2	-962
15:36:03	10.7	-42.2	-964
15:36:04	10.8	-42.3	-961
15:36:05	10.7	-42.4	-961
15:36:06	10.7	-42.4	-960
15:36:08	10.7	-42.5	-962
15:36:09	10.7	-42.5	-961
15:36:10	10.7	-42.5	-961
15:36:12	10.7	-42.6	-961
15:36:13	10.8	-42.5	-961
15:36:14	10.7	-42.6	-961
15:36:16	10.7	-42.6	-961
15:36:17	10.7	-42.6	-961
15:36:18	10.7	-42.7	-962
15:36:20	10.8	-42.7	-961
15:36:21	10.8	-42.7	-961
15:36:22	10.8	-42.7	-962
15:36:24	10.7	-42.8	-960
15:36:25	10.8	-42.8	-960
15:36:26	10.8	-42.8	-961
15:36:27	10.8	-42.8	-960
15:36:29	10.7	-42.9	-961
15:36:30	10.7	-43.0	-961
15:36:31	10.7	-43.0	-960
15:36:33	10.7	-43.1	-962
15:36:34	10.7	-43.1	-962
15:36:35	10.7	-43.1	-961
15:36:37	10.7	-43.2	-960
15:36:38	10.7	-43.2	-961
15:36:39	10.8	-43.2	-961
15:36:41	10.7	-43.3	-962
15:36:42	10.7	-43.3	-961
15:36:43	10.8	-43.3	-961
15:36:44	10.8	-43.3	-960
15:36:46	10.8	-43.3	-961
15:36:47	10.8	-43.4	-960
15:36:48	10.8	-43.4	-962
15:36:50	10.8	-43.4	-961
15:36:51	10.8	-43.4	-961
15:36:52	10.8	-43.5	-962
15:36:54	10.8	-43.5	-961
15:36:55	10.8	-43.5	-961
15:36:56	10.8	-43.5	-961
15:36:58	10.8	-43.5	-960
15:36:59	10.8	-43.5	-962
15:37:00	10.8	-43.5	-961
15:37:01	10.8	-43.5	-961
15:37:03	10.8	-43.5	-961
15:37:04	10.8	-43.6	-961
15:37:05	10.8	-43.6	-961
15:37:07	10.8	-43.6	-962
15:37:08	10.8	-43.7	-961
15:37:09	10.8	-43.7	-962
15:37:11	10.8	-43.7	-961
15:37:12	10.8	-43.8	-962
15:37:13	10.8	-43.8	-961
15:37:15	10.8	-43.8	-961
15:37:16	10.8	-43.8	-962
15:37:17	10.8	-43.8	-962
15:37:18	10.8	-43.9	-960
15:37:20	10.8	-43.9	-961
15:37:21	10.8	-43.9	-960
15:37:22	10.8	-43.9	-961
15:37:24	10.8	-43.9	-961
15:37:25	10.8	-44.0	-962
15:37:26	10.9	-44.0	-962
15:37:28	10.9	-44.0	-962
15:37:29	10.9	-44.0	-961
15:37:30	10.9	-44.0	-961
15:37:32	10.9	-44.0	-961
15:37:33	10.8	-44.1	-962
15:37:34	10.8	-44.0	-961
15:37:36	10.8	-44.1	-962
15:37:37	10.9	-44.1	-962
15:37:38	10.8	-44.2	-962
15:37:39	10.8	-44.1	-962
15:37:41	10.8	-44.2	-961
15:37:42	10.8	-44.2	-962
15:37:43	10.9	-44.2	-962
15:37:45	10.8	-44.2	-961
15:37:46	10.8	-44.2	-962
15:37:47	10.8	-44.2	-961
15:37:49	10.8	-44.2	-962
15:37:50	10.9	-44.2	-962
15:37:51	10.8	-44.2	-962
15:37:53	10.8	-44.3	-962
15:37:54	10.8	-44.3	-961
15:37:55	10.8	-44.3	-961
15:37:56	10.8	-44.3	-962
15:37:58	10.8	-44.4	-962
15:37:59	10.8	-44.3	-964
15:38:00	10.8	-44.3	-962
15:38:02	10.9	-44.3	-962
15:38:03	10.8	-44.3	-962
15:38:04	10.9	-44.3	-960
15:38:06	10.9	-44.3	-962
15:38:07	10.9	-44.4	-962
15:38:08	10.9	-44.4	-962
15:38:10	10.9	-44.4	-962
15:38:11	10.9	-44.4	-962
15:38:12	10.9	-44.4	-961
15:38:13	10.9	-44.4	-962
15:38:15	10.9	-44.4	-962
15:38:16	10.9	-44.4	-960
