time	T hot	T water	T cold	mBar
14:18:50	28.8	17.1	28.9	-103
14:18:52	28.9	17.1	28.9	-106
14:18:53	28.9	17.1	28.9	-107
14:18:55	30.7	17.2	20.4	-106
14:18:56	31.6	18.2	18.3	-105
14:18:58	31.9	18.3	17.9	-106
14:19:00	32.1	18.3	17.8	-105
14:19:01	32.2	18.3	17.6	-102
14:19:03	32.3	18.3	17.6	-103
14:19:04	32.3	18.3	17.5	-103
14:19:06	32.4	18.3	17.5	-106
14:19:07	32.5	18.3	17.5	-106
14:19:09	32.5	18.3	17.5	-105
14:19:11	32.6	18.3	17.4	-105
14:19:12	32.6	18.3	17.4	-106
14:19:14	32.7	18.2	17.4	-106
14:19:15	32.8	18.1	17.3	-105
14:19:17	32.8	18.1	17.3	-103
14:19:19	32.8	18.1	17.3	-105
14:19:20	32.8	18.1	17.2	-106
14:19:22	32.9	18.1	17.3	-106
14:19:23	32.9	18.1	17.2	-106
14:19:25	33.0	18.1	17.2	-105
14:19:26	33.0	18.1	17.2	-105
14:19:28	33.1	18.0	17.2	-106
14:19:30	33.1	18.0	17.2	-105
14:19:31	33.2	18.0	17.2	-106
14:19:33	33.2	18.0	17.1	-105
14:19:34	33.3	18.0	17.1	-103
14:19:36	33.2	18.0	17.1	-105
14:19:37	33.3	18.0	17.1	-102
14:19:39	33.3	18.0	17.1	-102
14:19:41	33.3	18.0	17.0	-103
14:19:42	33.4	18.0	17.0	-102
14:19:44	33.4	18.0	17.0	-103
14:19:45	33.4	18.0	17.0	-105
14:19:47	33.4	17.9	16.9	-103
14:19:48	33.4	18.0	16.9	-105
14:19:50	33.4	17.9	16.9	-105
14:19:52	33.5	17.9	16.9	-105
14:19:53	33.5	17.9	16.9	-105
14:19:55	33.5	17.9	16.9	-103
14:19:56	33.5	17.9	16.9	-103
14:19:58	33.5	17.8	16.8	-103
14:20:00	33.6	17.8	16.8	-103
14:20:01	33.6	17.8	16.8	-105
14:20:03	33.6	17.8	16.8	-103
14:20:04	33.6	17.8	16.8	-105
14:20:06	33.6	17.8	16.7	-106
14:20:07	33.6	17.8	16.7	-103
14:20:09	33.6	17.7	16.7	-105
14:20:11	33.6	17.7	16.7	-103
14:20:12	33.6	17.7	16.7	-105
14:20:14	33.6	17.7	16.7	-102
14:20:15	33.7	17.7	16.7	-105
14:20:17	33.7	17.7	16.6	-103
14:20:18	33.7	17.6	16.6	-105
14:20:20	33.6	17.6	16.5	-105
14:20:22	33.7	17.6	16.5	-105
14:20:23	33.7	17.5	16.5	-105
14:20:25	33.7	17.5	16.5	-105
14:20:26	33.7	17.5	16.5	-102
14:20:28	33.7	17.5	16.5	-105
14:20:30	33.7	17.5	16.4	-105
14:20:31	33.7	17.5	16.4	-106
14:20:33	33.7	17.4	16.4	-103
14:20:34	33.7	17.4	16.4	-103
14:20:36	33.8	17.4	16.4	-103
14:20:37	33.8	17.4	16.4	-102
14:20:39	33.8	17.4	16.4	-105
14:20:41	33.8	17.4	16.4	-102
14:20:42	33.8	17.4	16.4	-102
14:20:44	33.8	17.3	16.3	-105
14:20:45	33.8	17.3	16.3	-105
14:20:47	33.8	17.3	16.3	-105
14:20:48	33.8	17.2	16.3	-106
14:20:50	33.9	17.3	16.3	-107
14:20:52	33.9	17.3	16.3	-106
14:20:53	33.9	17.3	16.2	-105
14:20:55	33.9	17.2	16.2	-106
14:20:56	33.9	17.2	16.2	-103
14:20:58	33.9	17.2	16.2	-105
14:21:00	34.0	17.2	16.2	-102
14:21:01	33.9	17.2	16.2	-103
14:21:03	33.9	17.2	16.1	-103
14:21:04	33.9	17.2	16.1	-106
14:21:06	33.9	17.2	16.1	-105
14:21:07	33.9	17.1	16.0	-103
14:21:09	33.9	17.1	16.0	-103
14:21:11	33.9	17.1	16.0	-103
14:21:12	33.9	17.1	16.0	-103
14:21:14	33.9	17.1	16.0	-102
14:21:15	33.9	17.1	16.0	-102
14:21:17	33.9	17.0	15.9	-103
14:21:19	33.9	17.0	15.9	-103
14:21:20	33.9	17.0	15.8	-103
14:21:22	33.9	17.0	15.9	-101
14:21:23	33.9	17.0	15.9	-103
14:21:25	33.9	17.0	15.9	-105
14:21:26	33.9	17.0	15.9	-103
14:21:28	33.9	16.9	15.8	-102
14:21:30	33.9	16.9	15.8	-103
14:21:31	33.9	16.9	15.7	-103
14:21:33	33.9	16.9	15.7	-106
14:21:35	33.9	16.8	15.7	-105
14:21:36	33.9	16.8	15.7	-106
14:21:38	33.9	16.8	15.7	-102
14:21:39	33.9	16.8	15.6	-102
14:21:41	33.9	16.8	15.6	-103
14:21:42	33.9	16.8	15.6	-101
14:21:44	33.8	16.7	15.6	-103
14:21:46	33.9	16.7	15.6	-103
14:21:47	33.9	16.7	15.6	-101
14:21:49	33.9	16.7	15.6	-103
14:21:51	34.0	16.7	15.6	-103
14:21:52	33.9	16.7	15.5	-105
14:21:54	33.9	16.6	15.6	-103
14:21:55	33.9	16.7	15.6	-103
14:21:57	33.9	16.6	15.5	-105
14:21:59	33.9	16.6	15.5	-105
14:22:00	33.9	16.6	15.5	-102
14:22:02	33.9	16.6	15.4	-105
14:22:03	33.9	16.5	15.4	-103
14:22:05	33.9	16.5	15.4	-103
14:22:07	33.9	16.6	15.4	-103
14:22:08	33.9	16.5	15.4	-106
14:22:10	34.0	16.5	15.4	-105
14:22:12	34.0	16.5	15.4	-103
14:22:13	34.0	16.5	15.4	-105
14:22:15	34.0	16.5	15.3	-103
14:22:16	33.9	16.5	15.3	-105
14:22:18	33.9	16.5	15.3	-106
14:22:20	33.9	16.4	15.3	-103
14:22:21	34.0	16.4	15.3	-103
14:22:23	33.9	16.4	15.2	-103
14:22:24	33.9	16.4	15.2	-105
14:22:26	33.9	16.4	15.2	-102
14:22:27	33.9	16.4	15.2	-106
14:22:29	33.9	16.3	15.2	-103
14:22:31	33.9	16.4	15.1	-105
14:22:32	33.9	16.3	15.1	-102
14:22:34	34.0	16.3	15.2	-101
14:22:36	34.0	16.3	15.2	-101
14:22:37	33.9	16.3	15.1	-103
14:22:39	33.9	16.3	15.1	-103
14:22:40	34.0	16.3	15.1	-103
14:22:42	34.0	16.3	15.1	-103
14:22:44	34.0	16.2	15.1	-105
14:22:45	34.0	16.3	15.1	-102
14:22:47	34.0	16.2	15.1	-101
14:22:48	34.0	16.2	15.0	-103
14:22:50	34.0	16.2	15.0	-103
14:22:52	34.0	16.1	15.0	-103
14:22:53	34.0	16.1	15.0	-103
14:22:55	34.0	16.2	15.0	-105
14:22:56	34.0	16.1	15.0	-106
14:22:58	34.0	16.1	15.0	-106
14:23:00	34.0	16.1	14.9	-106
14:23:01	34.0	16.0	14.9	-105
14:23:03	34.0	16.1	14.9	-105
14:23:04	34.0	16.0	14.9	-105
14:23:06	34.0	16.0	14.9	-105
14:23:08	34.0	16.0	14.9	-103
14:23:09	34.0	16.0	14.9	-105
14:23:11	34.0	16.0	14.8	-103
14:23:13	34.0	16.0	14.8	-105
