time	T hot	T water	T cold	mBar
14:15:01	27.8	2.1	27.6	-1044
14:15:03	27.8	2.1	27.6	-1045
14:15:05	33.0	2.1	27.2	-1045
14:15:06	36.8	2.1	26.8	-1044
14:15:08	40.0	2.1	26.3	-1044
14:15:09	42.1	2.1	25.7	-1044
14:15:11	44.0	2.1	25.2	-1045
14:15:12	46.1	2.1	24.7	-1045
14:15:14	47.6	2.1	24.2	-1044
14:15:16	49.2	2.1	23.7	-1045
14:15:17	50.6	2.1	23.2	-1045
14:15:19	51.9	2.1	22.7	-1044
14:15:20	53.3	2.1	22.3	-1044
14:15:24	54.6	2.2	21.2	-1044
14:15:28	41.1	2.2	20.1	-1045
14:15:29	36.1	2.2	19.6	-1045
14:15:31	29.6	2.6	19.2	-1045
14:15:32	25.8	2.3	18.8	-1045
14:15:34	23.7	2.3	18.2	-1045
14:15:36	21.7	2.4	17.8	-1045
14:15:37	20.1	2.6	17.4	-1045
14:15:39	20.4	2.5	17.0	-1045
14:15:40	20.4	2.5	16.6	-1045
14:15:42	19.7	2.6	16.2	-1045
14:15:44	19.5	2.6	15.7	-1045
14:15:45	18.5	2.5	15.3	-1048
14:15:47	18.2	2.5	14.9	-1047
14:15:48	19.0	2.6	14.6	-1047
14:15:50	19.6	2.5	14.2	-1045
14:15:51	19.8	2.4	13.7	-1047
14:15:53	19.4	2.5	13.4	-1045
14:15:55	18.4	2.6	12.9	-1045
14:15:56	17.9	2.5	12.6	-1049
14:15:58	18.3	2.7	12.2	-1048
14:15:59	18.3	2.5	11.8	-1048
14:16:01	17.8	2.5	11.4	-1048
14:16:03	17.0	2.5	11.0	-1047
14:16:04	15.6	2.7	10.5	-1048
14:16:06	14.2	2.8	10.2	-1049
14:16:07	13.6	2.7	9.8	-1047
14:16:09	13.2	2.6	9.3	-1047
14:16:10	13.1	2.5	9.0	-1047
14:16:12	13.0	2.5	8.6	-1049
14:16:14	13.0	2.6	8.2	-1049
14:16:15	12.9	2.5	7.8	-1048
14:16:17	13.0	2.6	7.4	-1049
14:16:18	12.9	2.5	7.0	-1048
14:16:20	12.9	2.6	6.7	-1049
14:16:21	12.9	2.6	6.2	-1049
14:16:23	12.9	2.6	5.9	-1048
14:16:25	12.9	2.5	5.5	-1050
14:16:26	12.9	2.5	5.0	-1049
14:16:28	13.0	2.5	4.7	-1053
14:16:29	13.0	2.6	4.4	-1050
14:16:31	13.0	2.5	3.9	-1049
14:16:33	13.0	2.5	3.6	-1051
14:16:34	13.0	2.5	3.2	-1051
14:16:36	13.0	2.5	2.9	-1049
14:16:37	13.1	2.5	2.5	-1049
14:16:39	13.1	2.6	2.1	-1051
14:16:40	13.1	2.6	1.7	-1049
14:16:42	13.2	2.6	1.4	-1048
14:16:44	13.2	2.6	1.0	-1049
