time	T cell	T cold	mBar
10:45:42	30.2	-38.2	6345
10:45:44	30.2	-38.4	6325
10:45:45	30.2	-38.5	6284
10:45:47	30.1	-38.6	6260
10:45:49	30.0	-38.8	6213
10:45:50	30.0	-38.8	6199
10:45:52	30.0	-38.9	6160
10:45:53	30.0	-39.0	6140
10:45:55	29.9	-39.1	6104
10:45:56	29.9	-39.3	6083
10:45:58	29.9	-39.3	6050
10:46:00	29.9	-39.4	6020
10:46:01	29.8	-39.6	5981
10:46:03	29.9	-39.6	5946
10:46:04	29.9	-39.6	5926
10:46:06	29.8	-39.8	5897
10:46:07	29.8	-39.9	5879
10:46:09	29.8	-39.9	5843
10:46:11	29.8	-40.0	5826
10:46:12	29.8	-40.1	5784
10:46:14	29.9	-40.2	5768
10:46:15	29.8	-40.2	5734
10:46:17	29.8	-40.3	5717
10:46:18	29.8	-40.4	5686
10:46:20	29.7	-40.5	5671
10:46:22	29.7	-40.5	5642
10:46:23	29.7	-40.6	5627
10:46:25	29.7	-40.7	5596
10:46:26	29.7	-40.8	5554
10:46:28	29.7	-40.9	5540
10:46:30	29.7	-41.0	5512
10:46:31	29.7	-41.0	5497
10:46:33	29.7	-41.1	5468
10:46:34	29.5	-41.2	5455
10:46:36	29.5	-41.3	5427
10:46:37	29.5	-41.4	5415
10:46:39	29.5	-41.5	5385
10:46:41	29.5	-41.5	5372
10:46:42	29.4	-41.6	5345
10:46:44	29.4	-41.7	5321
10:46:45	29.4	-41.8	5295
10:46:47	29.4	-41.8	5272
10:46:49	29.3	-41.9	5259
10:46:50	29.3	-42.0	5233
10:46:52	29.3	-42.1	5222
10:46:53	29.3	-42.2	5200
10:46:55	29.2	-42.3	5186
10:46:56	29.2	-42.3	5163
10:46:58	29.2	-42.3	5151
10:47:00	29.2	-42.4	5127
10:47:01	29.2	-42.5	5113
10:47:03	29.2	-42.5	5081
10:47:04	29.2	-42.6	5071
10:47:06	29.2	-42.7	5049
10:47:08	29.1	-42.7	5038
10:47:09	29.1	-42.8	5017
10:47:11	29.1	-42.8	4997
10:47:12	29.1	-42.9	4987
10:47:14	29.1	-43.0	4965
10:47:15	29.1	-43.0	4956
10:47:17	29.1	-43.1	4934
10:47:19	29.1	-43.1	4921
10:47:20	29.0	-43.2	4901
10:47:22	29.0	-43.2	4892
10:47:23	29.0	-43.3	4861
10:47:25	29.0	-43.4	4852
10:47:27	29.0	-43.4	4832
10:47:28	28.9	-43.5	4825
10:47:30	28.9	-43.6	4807
10:47:31	28.9	-43.6	4791
10:47:33	28.8	-43.7	4780
10:47:34	28.8	-43.7	4762
10:47:36	28.8	-43.8	4754
10:47:38	28.8	-43.9	4737
10:47:39	28.8	-43.9	4729
10:47:41	28.7	-43.9	4711
10:47:42	28.7	-43.9	4705
10:47:44	28.7	-44.0	4689
10:47:45	28.7	-44.1	4677
10:47:47	28.7	-44.1	4663
10:47:49	28.6	-44.2	4653
10:47:50	28.6	-44.3	4627
10:47:52	28.6	-44.3	4619
10:47:53	28.6	-44.3	4604
10:47:55	28.6	-44.4	4590
10:47:56	28.5	-44.4	4582
10:47:58	28.5	-44.5	4567
10:48:00	28.5	-44.5	4560
10:48:01	28.5	-44.6	4544
10:48:03	-35.2	-44.4	7843
10:48:04	-35.5	-43.3	7423
10:48:06	-37.9	-41.9	6955
10:48:08	-38.6	-41.0	6614
10:48:09	-39.2	-40.4	6524
10:48:11	-39.4	-40.0	6367
10:48:12	-39.8	-39.8	6306
10:48:14	-40.0	-39.7	6210
10:48:15	-40.2	-39.6	6154
10:48:17	-40.3	-39.6	6129
10:48:19	-40.4	-39.7	6083
10:48:20	-40.5	-39.7	6060
10:48:22	-40.6	-39.8	6015
10:48:23	-40.8	-39.8	5998
10:48:25	-40.8	-39.9	5968
10:48:27	-41.0	-40.0	5956
10:48:28	-41.0	-40.0	5926
10:48:30	-41.1	-40.1	5914
10:48:31	-41.2	-40.2	5887
10:48:33	-41.2	-40.2	5875
10:48:34	-41.3	-40.3	5853
10:48:36	-41.4	-40.3	5828
10:48:38	-41.4	-40.5	5816
10:48:39	-41.5	-40.5	5783
10:48:41	-41.6	-40.6	5772
10:48:42	-41.6	-40.7	5752
10:48:44	-41.7	-40.7	5741
10:48:46	-41.7	-40.8	5720
10:48:47	-41.8	-40.8	5710
10:48:49	-41.8	-40.9	5686
10:48:50	-41.8	-41.0	5675
10:48:52	-41.9	-41.0	5654
10:48:53	-42.0	-41.1	5643
10:48:55	-42.1	-41.1	5619
10:48:57	-42.1	-41.2	5609
10:48:58	-42.3	-41.3	5586
10:49:00	-42.3	-41.3	5551
10:49:01	-42.3	-41.4	5543
10:49:03	-42.4	-41.4	5522
10:49:04	-42.4	-41.5	5513
10:49:06	-42.5	-41.6	5492
10:49:08	-42.5	-41.7	5483
10:49:09	-42.6	-41.7	5461
10:49:11	-42.6	-41.7	5456
10:49:12	-42.7	-41.8	5432
10:49:14	-42.7	-41.8	5426
10:49:16	-42.9	-41.9	5406
10:49:17	-42.9	-41.9	5394
10:49:19	-43.0	-42.0	5375
10:49:20	-43.0	-42.0	5363
10:49:22	-43.1	-42.1	5346
10:49:23	-43.1	-42.1	5317
10:49:25	-43.2	-42.2	5311
10:49:27	-43.2	-42.2	5294
10:49:28	-43.2	-42.3	5285
10:49:30	-43.3	-42.3	5270
10:49:31	-43.4	-42.4	5258
10:49:33	-43.5	-42.5	5243
