time	T hot	T mid	T cold	mBar
15:30:02	24.3	29.5	22.3	8082
15:30:03	24.3	29.5	22.3	8083
15:30:05	30.4	29.3	22.0	8082
15:30:06	35.2	29.0	21.4	8081
15:30:08	36.7	29.7	20.7	8078
15:30:09	37.4	30.1	20.1	8080
15:30:11	37.8	30.3	19.5	8078
15:30:13	37.9	30.5	19.1	8075
15:30:14	38.0	30.5	18.5	8076
15:30:16	38.1	30.6	18.0	8074
15:30:17	38.2	30.6	17.5	8072
15:30:19	38.3	30.7	16.9	8071
15:30:21	38.4	30.7	16.4	8069
15:30:22	38.4	30.7	16.0	8066
15:30:24	38.5	30.8	15.4	8064
15:30:25	38.5	30.8	14.9	8065
15:30:27	38.6	30.9	14.5	8062
15:30:29	38.6	30.8	14.0	8061
15:30:30	38.7	30.8	13.6	8059
15:30:32	38.7	30.9	13.2	8057
15:30:33	38.7	30.9	12.7	8055
15:30:35	38.8	30.9	12.3	8054
15:30:36	38.8	30.9	11.8	8051
15:30:38	38.9	31.0	11.4	8052
15:30:40	38.9	31.0	11.0	8049
15:30:41	39.0	31.0	10.5	8048
15:30:43	39.0	31.0	10.1	8045
15:30:44	39.0	31.0	9.7	8044
15:30:46	39.1	31.1	9.3	8043
15:30:48	39.0	31.1	8.9	8043
15:30:49	39.1	31.1	8.5	8041
15:30:51	39.1	31.1	8.1	8039
15:30:52	39.1	31.1	7.8	8036
15:30:54	39.2	31.1	7.4	8035
15:30:55	39.2	31.2	7.0	8035
15:30:57	39.2	31.2	6.7	8031
15:30:59	39.3	31.2	6.3	8031
15:31:00	39.3	31.2	6.0	8029
15:31:02	39.3	31.2	5.6	8029
15:31:03	39.3	31.3	5.2	8029
15:31:05	39.3	31.3	4.8	8026
15:31:06	39.3	31.3	4.5	8022
15:31:08	39.3	31.3	4.1	8022
15:31:10	39.4	31.3	3.8	8020
15:31:11	39.4	31.3	3.4	8020
15:31:13	39.3	31.4	3.1	8017
15:31:14	39.4	31.4	2.7	8017
15:31:16	39.4	31.4	2.5	8015
15:31:18	39.4	31.4	2.0	8013
15:31:19	39.4	31.4	1.8	8012
15:31:21	39.4	31.4	1.4	8010
15:31:22	39.5	31.5	1.1	8008
15:31:24	39.5	31.5	0.7	8007
15:31:25	39.5	31.5	0.5	8007
15:31:27	39.5	31.5	0.1	8004
15:31:29	39.5	31.5	-0.1	8004
15:31:30	39.6	31.5	-0.4	8003
15:31:32	39.5	31.5	-0.7	8002
15:31:33	39.5	31.5	-1.0	7999
15:31:35	39.6	31.5	-1.3	7997
15:31:37	39.6	31.6	-1.7	7997
15:31:38	39.6	31.6	-2.0	7996
15:31:40	39.6	31.6	-2.2	7994
15:31:41	39.6	31.6	-2.5	7992
15:31:43	39.6	31.6	-2.9	7992
15:31:44	39.7	31.6	-3.1	7989
15:31:46	39.7	31.6	-3.4	7988
15:31:48	39.7	31.6	-3.7	7986
15:31:49	39.7	31.6	-4.0	7984
15:31:51	39.8	31.6	-4.3	7983
