time	T hot	T cold	mBar	T test
13:34:56	23.9	24.5	-939	25.9
13:34:57	23.9	24.5	-941	25.9
13:34:58	23.9	24.5	-938	25.9
13:34:59	23.9	24.5	-939	25.9
13:35:01	23.9	24.5	-939	25.8
13:35:02	23.9	24.5	-938	25.8
13:35:03	23.8	24.5	-939	25.8
13:35:05	23.8	24.5	-939	25.8
13:35:06	23.8	24.4	-938	25.8
13:35:07	23.8	24.5	-936	25.8
13:35:09	23.8	24.5	-936	25.8
13:35:10	23.9	24.5	-938	25.8
13:35:11	23.8	24.5	-938	25.7
13:35:13	23.8	24.5	-939	25.7
13:35:14	23.8	24.4	-938	25.7
13:35:15	23.8	24.5	-939	25.7
13:35:17	23.8	24.5	-938	25.7
13:35:18	23.8	24.4	-938	25.7
13:35:19	23.8	24.5	-938	25.7
13:35:21	23.9	24.4	-939	25.7
13:35:22	23.9	24.5	-939	25.6
13:35:23	23.9	24.5	-938	25.6
13:35:24	23.9	24.5	-938	25.6
13:35:26	23.8	24.5	-938	25.6
13:35:27	23.6	24.5	-938	25.6
13:35:28	23.5	24.4	-939	25.6
13:35:30	23.6	24.4	-940	25.6
13:35:31	23.6	24.4	-941	25.5
13:35:32	23.7	24.4	-938	25.5
13:35:34	23.7	24.4	-939	25.5
13:35:35	23.7	24.4	-938	25.5
13:35:36	23.8	24.4	-939	25.5
13:35:38	23.7	24.4	-939	25.5
13:35:39	23.8	24.4	-939	25.5
13:35:40	23.8	24.5	-939	25.4
13:35:42	23.8	24.5	-939	25.5
13:35:43	23.8	24.5	-939	25.5
13:35:44	23.8	24.5	-940	25.4
13:35:45	23.8	24.5	-939	25.4
13:35:47	23.9	24.5	-938	25.5
13:35:48	23.9	24.5	-936	25.4
13:35:49	23.8	24.5	-939	25.4
13:35:51	23.8	24.5	-939	25.4
13:35:52	23.8	24.5	-938	25.4
13:35:53	23.9	24.5	-938	25.4
13:35:55	23.8	24.5	-940	25.4
13:35:56	23.9	24.5	-940	25.4
13:35:57	23.8	24.5	-940	25.3
13:35:59	23.9	24.5	-940	25.3
13:36:00	23.9	24.5	-939	25.3
13:36:01	23.9	24.5	-939	25.3
13:36:02	23.9	24.5	-939	25.3
13:36:04	23.9	24.5	-940	25.3
13:36:05	23.9	24.5	-939	25.3
13:36:06	23.9	24.5	-938	25.3
13:36:08	23.8	24.5	-938	25.2
13:36:09	23.9	24.5	-940	25.2
13:36:10	23.9	24.5	-938	25.2
13:36:12	23.9	24.5	-939	25.2
13:36:13	23.9	24.6	-938	25.2
13:36:14	23.9	24.6	-939	25.1
13:36:16	23.9	24.6	-938	25.2
13:36:17	23.9	24.5	-939	25.1
13:36:18	23.8	24.5	-938	25.1
13:36:20	23.8	24.6	-938	25.2
13:36:21	23.8	24.6	-940	25.1
13:36:22	23.8	24.5	-939	25.1
13:36:24	23.8	24.5	-938	25.1
13:36:25	23.8	24.5	-938	25.1
13:36:26	23.8	24.5	-938	25.0
13:36:28	23.8	24.5	-939	25.1
13:36:29	23.8	24.4	-938	25.0
13:36:30	23.7	24.5	-939	25.0
13:36:32	23.5	24.4	-941	25.0
13:36:33	23.5	24.4	-939	25.0
13:36:34	23.5	24.4	-938	25.0
13:36:35	23.5	24.4	-938	25.0
13:36:37	23.6	24.5	-938	25.0
13:36:38	23.6	24.5	-938	24.9
13:36:39	23.7	24.5	-939	24.9
13:36:41	23.7	24.5	-939	25.0
13:36:42	23.8	24.5	-939	24.9
13:36:43	23.8	24.5	-938	24.9
13:36:45	23.8	24.5	-939	24.9
13:36:46	23.8	24.5	-938	24.9
13:36:47	23.9	24.5	-938	24.9
13:36:49	23.9	24.5	-940	24.9
13:36:50	23.9	24.5	-939	24.9
13:36:51	24.0	24.5	-939	24.8
13:36:53	24.0	24.5	-939	24.8
13:36:54	23.9	24.5	-939	24.8
13:36:55	24.0	24.5	-940	24.8
13:36:57	24.0	24.5	-939	24.8
13:36:58	24.0	24.5	-941	24.8
13:36:59	24.0	24.5	-939	24.8
13:37:01	24.0	24.5	-940	24.8
13:37:02	24.0	24.5	-940	24.7
13:37:03	23.9	24.5	-940	24.7
13:37:04	23.9	24.5	-939	24.7
13:37:06	23.9	24.5	-938	24.6
13:37:07	24.0	24.5	-940	24.7
13:37:08	23.9	24.5	-940	24.7
13:37:10	24.0	24.5	-940	24.7
13:37:11	23.9	24.6	-938	24.7
13:37:12	23.9	24.5	-939	24.7
13:37:14	23.9	24.5	-940	24.6
13:37:15	24.0	24.6	-939	24.6
13:37:16	24.0	24.6	-938	24.6
13:37:18	24.0	24.6	-938	24.6
13:37:19	24.0	24.6	-938	24.6
13:37:20	24.1	24.6	-939	24.6
13:37:22	24.1	24.6	-938	24.6
13:37:23	24.1	24.7	-938	24.6
13:37:24	24.0	24.6	-939	24.5
13:37:26	23.9	24.6	-938	24.5
13:37:27	23.9	24.5	-939	24.5
13:37:28	23.9	24.6	-941	24.5
13:37:30	23.9	24.6	-939	24.5
13:37:31	24.0	24.6	-939	24.5
13:37:32	24.0	24.6	-938	24.5
13:37:34	24.0	24.6	-938	24.5
13:37:35	24.0	24.6	-936	24.5
13:37:36	24.1	24.6	-940	24.5
13:37:37	24.0	24.6	-939	24.5
13:37:39	23.9	24.6	-940	24.4
13:37:40	23.9	24.6	-938	24.5
13:37:41	23.9	24.6	-936	24.4
13:37:43	23.9	24.5	-939	24.4
13:37:44	23.9	24.5	-939	24.4
13:37:45	23.9	24.5	-938	24.4
13:37:47	23.8	24.5	-940	24.4
13:37:48	23.8	24.6	-939	24.4
13:37:49	23.9	24.6	-940	24.4
13:37:51	23.9	24.6	-939	24.4
13:37:52	23.9	24.6	-939	24.4
13:37:53	24.0	24.6	-939	24.4
13:37:55	24.0	24.6	-939	24.4
13:37:56	24.0	24.6	-941	24.3
13:37:57	23.9	24.6	-939	24.3
13:37:59	23.9	24.6	-941	24.3
13:38:00	23.9	24.7	-939	24.3
13:38:01	23.9	24.6	-943	24.3
13:38:03	23.9	24.6	-938	24.3
13:38:04	23.9	24.6	-941	24.3
13:38:05	24.0	24.6	-939	24.2
13:38:06	24.0	24.6	-939	24.2
13:38:08	24.1	24.6	-938	24.3
13:38:09	24.0	24.6	-941	24.2
13:38:10	24.0	24.6	-940	24.2
13:38:12	24.0	24.6	-940	24.2
13:38:13	24.0	24.6	-940	24.2
13:38:14	23.9	24.6	-938	24.2
13:38:16	24.0	24.6	-940	24.2
13:38:17	24.0	24.7	-939	24.2
13:38:18	24.0	24.6	-939	24.2
13:38:20	24.1	24.6	-938	24.1
13:38:21	24.1	24.7	-940	24.1
13:38:22	24.1	24.6	-939	24.1
13:38:24	24.0	24.6	-939	24.1
13:38:25	23.8	24.6	-940	24.1
13:38:26	23.8	24.6	-941	24.1
13:38:27	23.9	24.6	-939	24.1
13:38:29	23.9	24.6	-939	24.2
13:38:30	23.9	24.6	-941	24.1
13:38:31	24.0	24.6	-938	24.1
13:38:33	23.9	24.5	-938	24.1
13:38:34	23.9	24.5	-939	24.1
13:38:35	23.9	24.6	-939	24.1
13:38:37	23.8	24.5	-936	24.1
13:38:38	23.8	24.5	-938	24.1
13:38:39	23.9	24.5	-938	24.1
13:38:41	23.9	24.7	-936	24.1
13:38:42	23.9	24.7	-936	24.0
13:38:43	23.9	24.6	-938	24.1
13:38:45	23.9	24.6	-936	24.0
13:38:46	24.0	24.7	-939	24.0
13:38:47	24.1	24.7	-938	24.0
13:38:48	24.2	24.7	-936	24.0
13:38:50	24.2	24.7	-936	24.0
13:38:51	24.2	24.7	-938	24.0
13:38:52	24.2	24.8	-936	24.0
13:38:54	24.3	24.7	-938	24.0
13:38:55	24.3	24.8	-935	24.0
13:38:56	24.3	24.8	-936	24.0
13:38:58	24.3	24.8	-936	24.0
13:38:59	24.3	24.8	-938	24.0
13:39:00	24.3	24.9	-936	23.9
13:39:02	24.2	24.8	-938	23.9
13:39:03	24.1	24.8	-936	23.9
13:39:04	24.1	24.7	-940	23.9
13:39:06	24.0	24.7	-938	23.9
13:39:07	24.0	24.7	-935	23.9
13:39:08	24.0	24.7	-938	23.8
13:39:10	24.0	24.8	-936	23.8
13:39:11	24.1	24.7	-938	23.8
13:39:12	24.1	24.8	-938	23.8
13:39:14	24.0	24.8	-939	23.8
13:39:15	24.0	24.8	-938	23.8
13:39:16	23.9	24.8	-938	23.8
13:39:18	23.9	24.7	-938	23.8
13:39:19	23.9	24.7	-939	23.8
13:39:20	23.9	24.7	-938	23.7
13:39:21	24.0	24.7	-939	23.7
13:39:23	24.0	24.7	-939	23.7
13:39:24	24.0	24.7	-939	23.8
13:39:25	24.0	24.7	-939	23.7
13:39:27	24.0	24.7	-938	23.7
13:39:28	23.9	24.7	-938	23.7
13:39:29	24.0	24.7	-940	23.7
13:39:31	24.0	24.7	-939	23.7
13:39:32	24.1	24.7	-939	23.7
13:39:33	24.2	24.8	-939	23.7
13:39:35	24.1	24.8	-939	23.6
13:39:36	24.2	24.8	-939	23.6
13:39:37	24.2	24.8	-936	23.6
13:39:39	24.1	24.7	-935	23.6
13:39:40	24.1	24.7	-938	23.6
13:39:41	24.0	24.7	-936	23.6
13:39:43	24.1	24.6	-936	23.6
13:39:44	24.1	24.7	-936	23.5
13:39:45	23.9	24.7	-936	23.6
13:39:46	23.9	24.7	-936	23.6
13:39:48	23.9	24.7	-938	23.6
