time	T hot	T mid	T cold	mBar
16:59:33	33.5	28.6	26.6	-108
16:59:35	33.5	28.7	26.7	-108
16:59:36	33.4	28.7	26.8	-108
16:59:38	36.3	30.0	25.5	-110
16:59:39	37.2	31.1	21.9	-110
16:59:41	37.5	31.2	18.6	-108
16:59:43	37.7	31.0	15.9	-110
16:59:44	37.9	30.8	13.1	-108
16:59:46	38.1	30.6	10.5	-110
16:59:47	38.3	30.1	8.5	-108
16:59:49	38.4	29.8	5.9	-108
16:59:51	38.5	29.4	4.0	-108
16:59:52	38.7	28.9	2.3	-108
16:59:54	38.8	28.5	0.2	-108
16:59:55	39.0	28.0	-1.2	-108
16:59:57	39.1	27.4	-2.9	-108
16:59:59	39.1	27.0	-4.5	-110
17:00:00	39.3	26.5	-5.8	-110
17:00:02	39.4	26.0	-7.3	-108
17:00:03	39.5	25.5	-8.6	-108
17:00:05	39.6	24.9	-9.8	-108
17:00:06	39.7	24.4	-11.0	-108
17:00:08	39.7	24.0	-12.1	-110
17:00:10	39.6	23.5	-13.1	-110
17:00:11	39.7	22.9	-14.4	-110
17:00:13	39.7	22.5	-15.3	-108
17:00:14	39.8	22.0	-16.3	-108
17:00:16	39.8	21.4	-17.3	-110
17:00:17	39.9	21.0	-18.0	-110
17:00:19	40.0	20.5	-18.9	-107
17:00:21	40.0	20.1	-19.8	-108
17:00:22	40.1	19.7	-20.4	-107
17:00:24	40.2	19.3	-21.2	-110
17:00:25	40.2	18.7	-21.9	-108
17:00:27	40.2	18.3	-22.6	-108
17:00:29	40.3	17.8	-23.3	-106
17:00:30	40.3	17.5	-23.9	-108
17:00:32	40.4	17.1	-24.5	-110
17:00:33	40.3	16.7	-25.2	-108
17:00:35	40.4	16.4	-25.9	-107
17:00:36	40.4	16.0	-26.4	-108
17:00:38	40.4	15.6	-27.0	-107
17:00:40	40.5	15.3	-27.5	-110
17:00:41	40.5	15.0	-28.0	-107
17:00:43	40.5	14.7	-28.5	-108
17:00:44	40.6	14.4	-29.0	-108
17:00:46	40.6	14.1	-29.5	-110
17:00:47	40.6	13.7	-29.9	-108
17:00:49	40.6	13.4	-30.3	-110
17:00:51	40.7	13.1	-30.8	-110
17:00:52	40.7	12.7	-31.2	-108
17:00:54	40.7	12.5	-31.6	-108
17:00:55	40.7	12.2	-32.0	-108
17:00:57	40.6	11.8	-32.6	-108
17:00:59	40.6	11.6	-33.1	-107
17:01:00	40.6	11.4	-33.5	-110
17:01:02	40.6	11.0	-33.8	-108
17:01:03	40.6	10.8	-34.2	-107
17:01:05	40.6	10.6	-34.5	-108
17:01:06	40.7	10.3	-34.8	-108
17:01:08	40.7	10.1	-35.1	-108
17:01:10	40.7	9.8	-35.5	-110
17:01:11	40.7	9.6	-35.7	-108
17:01:13	40.8	9.4	-36.0	-108
17:01:14	40.8	9.2	-36.3	-107
17:01:16	40.8	9.0	-36.6	-107
17:01:17	40.8	8.8	-36.9	-108
17:01:19	40.8	8.6	-37.1	-108
17:01:21	40.7	8.4	-37.5	-108
17:01:22	40.8	8.3	-37.8	-108
17:01:24	40.8	8.1	-38.0	-110
17:01:25	40.8	7.9	-38.2	-108
17:01:27	40.8	7.8	-38.4	-108
17:01:29	40.9	7.6	-38.6	-107
17:01:30	40.9	7.4	-38.8	-107
17:01:32	40.9	7.2	-39.0	-110
17:01:33	40.9	7.1	-39.1	-108
17:01:35	40.9	7.0	-39.4	-108
17:01:36	40.9	6.8	-39.6	-110
17:01:38	40.9	6.7	-39.7	-108
17:01:40	41.0	6.5	-39.9	-107
17:01:41	41.0	6.4	-40.1	-107
17:01:43	40.8	6.3	-40.2	-107
17:01:44	40.7	6.1	-40.7	-108
17:01:46	40.8	6.1	-40.8	-108
17:01:47	40.8	5.9	-41.0	-107
17:01:49	40.8	5.8	-41.2	-108
17:01:51	40.8	5.7	-41.3	-108
17:01:52	40.8	5.6	-41.5	-108
17:01:54	40.9	5.5	-41.5	-108
17:01:55	40.9	5.4	-41.6	-110
17:01:57	40.9	5.3	-41.7	-108
17:01:59	41.0	5.1	-41.9	-110
17:02:00	41.0	5.0	-42.0	-108
17:02:02	41.0	4.9	-42.1	-108
17:02:03	41.0	4.8	-42.2	-107
17:02:05	41.0	4.7	-42.3	-108
17:02:06	40.8	4.6	-42.6	-108
17:02:08	40.8	4.5	-42.7	-108
17:02:10	40.9	4.5	-42.8	-108
17:02:11	40.9	4.4	-42.9	-106
17:02:13	40.8	4.3	-43.0	-108
17:02:14	40.9	4.2	-43.1	-108
17:02:16	40.9	4.2	-43.2	-108
17:02:17	40.9	4.1	-43.2	-108
17:02:19	40.9	4.0	-43.3	-110
17:02:21	41.0	3.8	-43.4	-108
17:02:22	41.0	3.7	-43.5	-108
17:02:24	41.0	3.7	-43.5	-108
17:02:25	41.0	3.6	-43.6	-107
17:02:27	41.0	3.5	-43.7	-110
17:02:29	41.0	3.5	-43.8	-108
17:02:30	40.7	3.5	-44.1	-108
17:02:32	40.7	3.4	-44.1	-110
17:02:33	40.7	3.4	-44.2	-108
17:02:35	40.8	3.3	-44.2	-107
17:02:36	40.8	3.3	-44.3	-107
17:02:38	40.8	3.2	-44.4	-108
17:02:40	40.8	3.2	-44.4	-107
17:02:41	40.8	3.1	-44.5	-108
17:02:43	40.8	3.1	-44.5	-107
17:02:44	40.8	3.0	-44.6	-108
17:02:46	40.8	2.9	-44.6	-108
17:02:47	40.8	2.9	-44.7	-110
17:02:49	40.8	2.9	-44.7	-106
17:02:51	40.8	2.9	-44.8	-108
17:02:52	40.8	2.8	-44.8	-107
17:02:54	40.7	2.7	-45.0	-108
17:02:55	40.7	2.8	-45.0	-107
17:02:57	40.7	2.7	-45.1	-110
17:02:59	40.8	2.7	-45.1	-108
17:03:00	40.8	2.6	-45.1	-108
17:03:02	40.8	2.6	-45.2	-107
17:03:03	40.8	2.6	-45.2	-107
17:03:05	40.8	2.6	-45.3	-107
17:03:06	40.8	2.5	-45.3	-107
17:03:08	40.8	2.4	-45.4	-108
17:03:10	40.8	2.4	-45.4	-107
