time	T hot	T mid	T cold	mBar
13:50:00	24.9	24.6	24.8	-1889
13:50:01	24.9	24.6	24.8	-1889
13:50:03	25.0	24.6	24.9	-1889
13:50:04	25.0	24.7	24.9	-1889
13:50:06	24.9	24.8	24.8	-1889
13:50:08	25.1	24.7	24.5	-1889
13:50:09	27.7	24.8	23.5	-1889
13:50:11	28.7	25.7	22.6	-1889
13:50:12	29.4	25.8	21.8	-1889
13:50:14	30.0	31.3	21.1	-1889
13:50:15	30.5	39.9	20.4	-1889
13:50:17	30.9	41.3	19.6	-1889
13:50:19	31.4	42.4	19.0	-1889
13:50:20	31.8	43.7	18.4	-1889
13:50:22	32.2	44.6	17.8	-1889
13:50:23	32.7	45.5	17.2	-1889
13:50:25	33.0	46.5	16.6	-1889
13:50:26	33.4	47.2	16.1	-1889
13:50:28	33.9	47.9	15.7	-1889
13:50:30	34.2	48.8	15.2	-1889
13:50:31	34.5	49.4	14.7	-1889
13:50:33	34.9	50.0	14.3	-1889
13:50:34	35.2	50.5	13.8	-1889
13:50:36	35.5	51.1	13.3	-1889
13:50:37	35.8	51.5	12.9	-1889
13:50:39	36.1	52.0	12.5	-1889
13:50:41	36.3	52.5	12.1	-1889
13:50:42	36.7	52.8	11.7	-1889
13:50:44	36.9	53.2	11.3	-1889
13:50:45	37.2	53.5	10.9	-1889
13:50:47	37.4	53.8	10.6	-1889
13:50:48	37.7	54.1	10.2	-1889
13:50:50	37.9	54.4	9.8	-1889
13:50:52	38.2	54.7	9.6	-1889
13:50:53	38.4	54.9	9.2	-1889
13:50:55	38.7	55.1	8.8	-1889
13:50:56	38.9	55.3	8.6	-1889
13:50:58	39.1	55.5	8.2	-1889
13:50:59	39.3	55.7	7.9	-1889
13:51:01	39.5	55.8	7.6	-1889
13:51:03	39.7	56.0	7.3	-1889
13:51:04	39.9	56.1	6.9	-1889
13:51:06	40.0	56.2	6.6	-1889
13:51:07	40.2	56.3	6.4	-1889
13:51:09	40.4	56.5	6.0	-1889
13:51:10	40.6	56.6	5.7	-1889
13:51:12	40.8	56.7	5.5	-1889
13:51:14	40.9	56.8	5.3	-1889
13:51:15	41.2	57.0	5.0	-1889
13:51:17	41.4	57.0	4.8	-1889
13:51:18	41.6	57.1	4.4	-1889
13:51:20	41.7	57.2	4.2	-1889
13:51:21	41.8	57.2	3.9	-1889
13:51:23	42.0	57.3	3.6	-1889
13:51:25	42.1	57.3	3.3	-1889
13:51:26	42.2	57.4	3.1	-1889
13:51:28	42.4	57.4	2.8	-1889
13:51:29	42.5	57.4	2.6	-1889
13:51:31	42.7	57.5	2.3	-1889
13:51:32	42.8	57.5	2.0	-1889
13:51:34	42.9	57.5	1.8	-1889
13:51:36	43.0	57.6	1.6	-1889
13:51:37	43.3	57.6	1.4	-1889
