time	T hot	T mid	T cold	mBar
10:55:00	28.4	28.3	28.2	-1039
10:55:02	28.4	28.3	28.2	-1038
10:55:03	31.9	28.3	28.0	-1038
10:55:05	32.8	28.3	27.2	-1038
10:55:06	32.9	28.2	26.7	-1035
10:55:08	33.1	28.2	26.1	-1035
10:55:10	33.2	28.1	25.4	-1037
10:55:11	33.5	28.1	25.1	-1037
10:55:13	33.6	28.1	24.5	-1038
10:55:14	33.7	28.1	23.9	-1037
10:55:16	33.7	28.1	23.5	-1035
10:55:18	33.9	28.2	22.9	-1035
10:55:19	34.0	28.3	22.4	-1037
10:55:21	34.0	28.3	21.8	-1038
10:55:22	34.1	28.4	21.4	-1038
10:55:24	34.2	28.4	20.9	-1037
10:55:25	34.2	28.4	20.4	-1038
10:55:27	34.3	28.5	19.8	-1037
10:55:29	34.4	28.5	19.3	-1037
10:55:30	34.5	28.6	18.9	-1038
10:55:32	34.6	28.6	18.3	-1035
10:55:33	34.6	28.6	17.9	-1038
10:55:35	34.8	28.7	17.5	-1038
10:55:36	34.8	28.7	17.0	-1038
10:55:38	34.9	28.8	16.6	-1039
10:55:40	35.0	28.8	16.1	-1035
10:55:41	35.0	28.8	15.6	-1037
10:55:43	35.1	28.8	15.2	-1038
10:55:44	35.2	28.9	14.7	-1037
10:55:46	35.3	28.9	14.3	-1035
10:55:48	35.4	29.0	13.9	-1038
10:55:49	35.4	28.9	13.3	-1037
10:55:51	35.4	29.0	12.9	-1038
10:55:52	35.5	29.0	12.5	-1035
10:55:54	35.6	29.0	12.1	-1035
10:55:55	35.6	29.1	11.6	-1038
10:55:57	35.7	29.1	11.2	-1039
10:55:59	35.7	29.1	10.8	-1038
10:56:00	35.8	29.2	10.4	-1037
10:56:02	35.9	29.2	10.0	-1035
10:56:03	35.9	29.2	9.6	-1038
10:56:05	36.0	29.3	9.2	-1037
10:56:07	36.1	29.3	8.8	-1039
10:56:08	36.1	29.3	8.3	-1038
10:56:10	36.2	29.3	7.9	-1037
10:56:11	36.2	29.4	7.5	-1037
10:56:13	36.2	29.3	7.1	-1035
10:56:14	36.3	29.4	6.7	-1038
10:56:16	36.3	29.4	6.3	-1035
