time	T hot	T vent	T cold	mBar
15:35:01	29.1	28.9	29.1	-1886
15:35:03	29.5	28.8	29.0	-1886
15:35:05	33.4	28.8	28.5	-1886
15:35:06	34.2	28.9	27.5	-1886
15:35:08	34.4	29.0	26.5	-1887
15:35:09	34.6	29.1	25.4	-1887
15:35:11	34.8	29.2	24.4	-1887
15:35:13	35.0	29.3	23.6	-1887
15:35:14	35.0	29.3	22.6	-1887
15:35:16	35.1	29.4	21.7	-1887
15:35:17	35.2	29.5	20.7	-1886
15:35:19	35.3	29.5	19.8	-1887
15:35:21	35.5	29.5	19.2	-1886
15:35:22	35.5	29.6	18.1	-1886
15:35:24	35.6	29.6	17.2	-1887
15:35:25	35.7	29.6	16.4	-1887
15:35:27	35.7	29.7	15.6	-1887
15:35:28	35.8	29.7	14.8	-1886
15:35:30	35.9	29.8	14.0	-1887
15:35:32	35.9	29.8	13.1	-1886
15:35:33	36.0	29.9	12.4	-1887
15:35:35	36.1	29.9	11.6	-1887
15:35:36	36.1	29.9	10.7	-1886
15:35:38	36.2	30.0	10.1	-1887
15:35:40	36.3	30.0	9.3	-1886
15:35:41	36.3	30.1	8.6	-1887
15:35:43	36.4	30.2	7.9	-1886
15:35:44	36.4	30.2	7.1	-1887
15:35:46	36.5	30.2	6.4	-1887
15:35:47	36.6	30.3	5.8	-1886
15:35:49	36.7	30.3	5.0	-1886
15:35:51	36.7	30.3	4.4	-1886
15:35:52	36.8	30.3	3.7	-1887
15:35:54	36.8	30.4	3.0	-1886
15:35:55	36.8	30.4	2.4	-1887
15:35:57	36.9	30.4	1.8	-1886
15:35:59	36.9	30.5	1.1	-1886
15:36:00	37.0	30.5	0.5	-1886
15:36:02	37.0	30.6	-0.1	-1887
15:36:03	37.1	30.7	-0.7	-1887
15:36:05	37.1	30.7	-1.2	-1887
15:36:06	37.2	30.8	-1.8	-1886
15:36:08	37.2	30.8	-2.5	-1886
15:36:10	37.3	30.8	-3.0	-1887
15:36:11	37.3	30.9	-3.7	-1886
15:36:13	37.4	30.9	-4.2	-1887
15:36:14	37.4	31.0	-4.8	-1887
15:36:16	37.5	31.0	-5.4	-1887
15:36:18	37.6	31.0	-5.8	-1887
15:36:19	37.6	31.1	-6.4	-1886
15:36:21	37.6	31.1	-7.0	-1887
15:36:22	37.7	31.1	-7.5	-1886
15:36:24	37.7	31.2	-8.0	-1886
15:36:26	37.7	31.2	-8.5	-1886
15:36:27	37.8	31.3	-9.1	-1887
15:36:29	37.8	31.3	-9.6	-1887
15:36:30	37.9	31.4	-10.0	-1886
15:36:32	37.9	31.5	-10.6	-1886
15:36:33	38.0	31.5	-11.0	-1886
15:36:35	38.0	31.5	-11.5	-1887
15:36:37	38.1	31.6	-12.0	-1886
15:36:38	38.1	31.6	-12.5	-1886
15:36:40	38.2	31.6	-13.0	-1886
15:36:42	38.2	31.6	-13.3	-1886
15:36:43	38.2	31.7	-13.9	-1887
15:36:45	38.3	31.7	-14.3	-1886
15:36:46	38.3	31.8	-14.7	-1886
15:36:48	38.4	31.8	-15.2	-1887
15:36:49	38.4	31.8	-15.5	-1887
15:36:51	38.4	31.9	-16.0	-1887
15:36:53	38.4	31.9	-16.4	-1886
15:36:54	38.4	32.0	-16.8	-1887
15:36:56	38.5	32.1	-17.2	-1887
15:36:57	38.5	32.1	-17.6	-1887
15:36:59	38.6	32.1	-17.9	-1886
15:37:01	38.6	32.2	-18.4	-1887
15:37:02	38.7	32.2	-18.7	-1887
15:37:04	38.7	32.3	-19.1	-1887
15:37:05	38.7	32.3	-19.5	-1887
15:37:07	38.8	32.4	-19.8	-1886
15:37:08	38.8	32.4	-20.2	-1886
15:37:10	38.8	32.4	-20.5	-1887
15:37:12	38.8	32.5	-20.9	-1887
15:37:13	38.9	32.5	-21.3	-1886
15:37:15	38.9	32.6	-21.6	-1887
15:37:16	38.9	32.6	-21.9	-1886
15:37:18	38.9	32.7	-22.4	-1887
15:37:20	38.9	32.7	-22.6	-1887
15:37:21	39.0	32.7	-23.0	-1886
15:37:23	39.0	32.8	-23.3	-1886
15:37:24	39.1	32.9	-23.6	-1886
15:37:26	39.1	33.0	-23.9	-1887
15:37:28	39.1	33.1	-24.3	-1887
15:37:29	39.1	33.1	-24.5	-1886
15:37:31	39.2	33.1	-24.8	-1887
15:37:32	39.2	33.2	-25.1	-1887
