time	T hot	T cold
11:30:37	24.0	29.0
11:30:38	24.0	29.0
11:30:39	23.9	29.0
11:30:41	23.8	29.0
11:30:42	23.7	29.1
11:30:43	23.5	29.0
11:30:44	23.5	28.9
11:30:46	23.3	28.9
11:30:47	23.1	28.7
11:30:48	23.0	28.7
11:30:50	22.9	28.7
11:30:51	22.9	28.6
11:30:52	22.7	28.6
11:30:54	22.5	28.6
11:30:55	22.3	28.5
11:30:56	22.0	28.5
11:30:58	21.9	28.3
11:30:59	21.9	28.3
11:31:00	21.6	28.0
11:31:01	21.3	27.9
11:31:03	21.0	27.9
11:31:04	20.8	28.0
11:31:05	20.7	28.0
11:31:07	20.7	28.0
11:31:08	20.6	28.0
11:31:09	20.6	27.9
11:31:11	20.4	28.0
11:31:12	20.3	28.0
11:31:13	20.1	27.9
11:31:15	20.0	27.7
11:31:16	19.9	27.7
11:31:17	19.6	27.7
11:31:19	19.6	27.7
11:31:20	19.5	27.6
11:31:21	19.8	27.6
11:31:23	19.6	27.3
11:31:24	19.5	27.3
11:31:25	19.4	27.5
11:31:26	19.4	27.3
11:31:28	19.2	27.2
11:31:29	18.9	27.2
11:31:30	18.7	27.2
11:31:32	18.5	27.1
11:31:33	18.5	27.0
11:31:34	18.4	26.9
11:31:36	18.1	26.9
11:31:37	18.1	26.7
11:31:38	18.2	26.7
11:31:39	18.0	26.6
11:31:41	17.7	26.5
11:31:42	17.8	26.5
11:31:43	17.6	26.5
11:31:45	17.6	26.6
11:31:46	17.7	26.5
11:31:47	17.5	26.5
11:31:49	17.3	26.4
11:31:50	17.2	26.4
11:31:51	16.9	26.4
11:31:53	17.0	26.4
11:31:54	16.8	26.3
11:31:55	16.8	26.2
11:31:57	16.7	26.0
11:31:58	16.7	26.0
11:31:59	16.5	26.1
11:32:01	16.2	25.9
11:32:02	16.0	25.9
11:32:03	15.9	25.8
11:32:04	15.6	25.6
11:32:06	15.4	25.7
11:32:07	15.3	25.6
11:32:08	15.1	25.3
11:32:10	15.0	25.4
11:32:11	15.1	25.3
11:32:12	14.7	25.2
11:32:14	14.6	25.3
11:32:15	14.5	25.1
11:32:16	14.6	25.2
11:32:18	14.4	25.3
11:32:19	14.0	25.0
11:32:20	13.8	25.0
11:32:21	13.7	24.8
11:32:23	13.5	24.7
11:32:24	13.8	24.6
11:32:25	13.9	24.6
11:32:27	13.5	24.7
11:32:28	13.3	24.7
11:32:29	13.1	24.8
11:32:31	12.7	24.7
11:32:32	12.5	24.4
11:32:33	12.4	24.3
11:32:35	12.1	24.4
11:32:36	12.3	24.2
11:32:37	12.0	24.0
11:32:39	12.1	24.0
11:32:40	11.8	23.9
11:32:41	12.0	24.1
11:32:42	11.9	24.0
11:32:44	11.6	24.0
11:32:45	11.5	23.9
11:32:46	11.4	23.8
11:32:48	11.1	23.5
11:32:49	11.0	23.3
11:32:50	10.9	23.3
11:32:52	10.7	23.3
11:32:53	10.9	23.1
11:32:54	10.8	23.0
11:32:56	10.8	23.0
11:32:57	10.8	23.0
11:32:58	10.8	23.0
11:33:00	10.4	22.8
11:33:01	10.1	22.6
11:33:02	10.1	22.6
11:33:04	10.0	22.7
11:33:05	9.8	22.8
11:33:06	9.5	22.9
11:33:07	9.7	22.6
11:33:09	9.6	22.6
11:33:10	9.4	22.4
11:33:11	9.5	22.5
11:33:13	9.3	22.3
11:33:14	9.2	22.2
11:33:15	9.0	22.2
11:33:17	8.8	22.0
11:33:18	8.8	22.0
11:33:19	8.7	21.9
11:33:21	8.7	21.9
11:33:22	8.3	21.7
11:33:23	8.3	21.6
11:33:25	8.4	21.5
11:33:26	8.4	21.5
11:33:27	8.4	21.4
11:33:28	8.6	21.5
11:33:30	8.3	21.3
11:33:31	8.1	21.4
11:33:32	8.3	21.5
11:33:34	8.1	21.5
11:33:35	8.1	21.2
11:33:36	8.3	21.0
11:33:38	8.3	20.9
11:33:39	8.0	20.9
11:33:40	7.9	21.0
11:33:42	8.1	20.8
11:33:43	7.8	20.9
11:33:44	7.7	20.9
11:33:46	7.7	20.9
11:33:47	7.7	20.8
11:33:48	7.7	20.8
11:33:49	7.6	20.9
11:33:51	7.6	21.0
11:33:52	7.5	20.8
11:33:53	7.3	20.8
11:33:55	7.2	20.7
11:33:56	7.1	20.5
11:33:57	7.1	20.5
11:33:59	7.0	20.6
11:34:00	6.9	20.4
11:34:01	6.7	20.3
11:34:03	6.5	20.3
11:34:04	6.7	20.3
11:34:05	6.8	20.2
11:34:07	6.7	20.1
11:34:08	6.4	20.1
11:34:09	6.5	19.8
11:34:10	6.6	19.8
11:34:12	6.7	20.0
11:34:13	6.7	19.9
11:34:14	6.6	19.8
11:34:16	6.8	19.7
11:34:17	6.8	19.8
11:34:18	6.5	19.8
11:34:20	6.6	19.8
11:34:21	6.5	19.8
11:34:22	6.5	19.7
11:34:24	6.5	19.6
11:34:25	6.5	19.7
11:34:26	6.5	19.7
11:34:28	6.8	19.7
11:34:29	6.7	19.5
11:34:30	6.6	19.6
11:34:32	6.4	19.5
11:34:33	6.4	19.3
11:34:34	6.5	19.3
11:34:35	6.4	19.2
11:34:37	6.5	18.9
11:34:38	6.5	18.7
11:34:39	6.5	18.5
11:34:41	6.5	18.7
11:34:42	6.2	18.9
11:34:43	6.0	18.9
11:34:44	6.1	18.8
11:34:46	6.2	18.5
11:34:47	6.3	18.6
11:34:48	8.1	18.7
11:34:50	8.9	18.5
11:34:51	9.3	18.7
11:34:52	9.5	18.7
11:34:53	9.5	18.7
11:34:55	9.6	18.7
11:34:56	9.5	18.5
11:34:57	9.7	18.6
11:34:59	9.6	18.6
11:35:00	9.4	18.5
11:35:01	9.4	18.4
11:35:02	9.4	18.4
11:35:04	9.3	18.5
11:35:05	9.3	18.4
11:35:06	9.3	18.3
11:35:08	9.4	18.2
11:35:09	9.3	18.3
11:35:10	9.2	18.0
11:35:11	9.2	18.1
11:35:13	9.2	18.0
11:35:14	9.2	18.0
11:35:15	9.1	18.2
11:35:16	8.9	18.1
11:35:18	8.9	17.9
11:35:19	9.0	17.9
11:35:20	8.9	17.9
11:35:21	8.9	17.9
11:35:23	8.9	17.9
11:35:24	8.8	17.8
11:35:25	8.6	17.6
11:35:27	8.6	17.7
11:35:28	8.7	17.6
11:35:29	8.7	17.5
11:35:31	8.5	17.4
11:35:32	8.5	17.4
11:35:33	8.6	17.3
11:35:35	8.5	17.2
11:35:36	8.6	17.2
11:35:37	8.5	17.3
11:35:38	8.3	17.3
11:35:40	8.4	17.2
11:35:41	8.5	17.2
11:35:42	8.4	17.3
11:35:44	8.4	17.2
11:35:45	8.4	17.2
11:35:46	8.3	17.0
11:35:48	8.4	16.9
11:35:49	8.4	16.8
11:35:50	8.3	16.9
11:35:52	8.2	16.9
11:35:53	8.1	16.8
11:35:54	8.1	16.9
11:35:55	8.1	16.8
11:35:57	8.1	16.7
11:35:58	8.0	16.7
11:35:59	8.0	16.7
11:36:01	8.0	16.6
11:36:02	8.0	16.7
11:36:03	8.0	16.7
11:36:05	7.9	16.6
11:36:06	7.8	16.3
11:36:07	8.0	16.4
11:36:09	7.9	16.4
11:36:10	7.9	16.4
11:36:11	7.9	16.5
11:36:13	7.7	16.5
11:36:14	7.9	16.4
11:36:15	7.8	16.4
11:36:17	7.8	16.5
11:36:18	7.7	16.6
11:36:19	7.6	16.4
11:36:21	7.6	16.3
11:36:22	7.5	16.0
11:36:23	7.5	15.9
11:36:25	7.4	16.1
11:36:26	7.4	16.2
11:36:27	7.3	16.1
11:36:28	7.2	15.9
11:36:30	7.0	15.7
11:36:31	7.1	15.7
11:36:32	6.8	15.7
11:36:34	6.9	15.5
11:36:35	7.1	15.5
11:36:36	6.9	15.4
11:36:38	6.8	15.6
11:36:39	6.7	15.6
11:36:40	6.6	15.4
11:36:42	6.5	15.4
11:36:43	6.3	15.4
11:36:44	6.4	15.3
11:36:46	6.3	15.1
11:36:47	6.3	14.9
11:36:48	6.0	15.0
11:36:49	5.9	15.0
11:36:51	6.0	14.9
11:36:52	6.0	15.0
11:36:53	5.8	15.0
11:36:55	5.7	14.9
11:36:56	5.5	14.8
11:36:57	5.3	14.5
11:36:59	5.3	14.5
11:37:00	5.3	14.4
11:37:01	4.9	14.4
11:37:03	4.7	14.4
11:37:04	4.8	14.2
11:37:05	4.8	14.1
11:37:07	4.7	14.3
11:37:08	4.5	14.0
11:37:09	4.5	14.0
11:37:11	4.3	14.1
11:37:12	4.2	14.0
11:37:13	4.1	13.9
11:37:15	4.0	14.0
11:37:16	3.7	13.8
11:37:17	3.8	13.7
11:37:19	3.8	13.5
11:37:20	3.6	13.6
11:37:21	3.5	13.5
11:37:23	3.5	13.4
11:37:24	3.2	13.5
11:37:25	3.1	13.3
11:37:26	3.0	13.0
11:37:28	3.2	12.8
11:37:29	3.1	13.0
11:37:30	3.1	13.0
11:37:32	2.9	13.0
11:37:33	2.8	12.8
11:37:34	2.9	13.0
11:37:36	2.9	13.0
11:37:37	2.9	12.9
11:37:38	2.7	12.9
11:37:40	2.6	12.8
11:37:41	2.3	12.7
11:37:42	2.0	12.7
11:37:43	2.0	12.6
11:37:45	2.1	12.5
11:37:46	2.0	12.4
11:37:47	2.0	12.4
11:37:49	1.8	12.2
11:37:50	2.0	12.0
11:37:51	2.0	12.0
11:37:53	1.8	12.1
11:37:54	1.8	12.0
11:37:55	1.7	12.1
11:37:56	1.7	12.1
11:37:58	1.6	12.1
11:37:59	1.5	11.8
11:38:00	1.2	12.0
11:38:02	1.2	11.7
11:38:03	1.3	11.7
11:38:04	1.3	11.6
11:38:06	1.3	11.6
11:38:07	1.3	11.5
11:38:08	1.2	11.5
11:38:10	0.9	11.5
11:38:11	1.0	11.5
11:38:12	1.1	11.4
11:38:14	0.8	11.4
11:38:15	0.8	11.4
11:38:16	0.9	11.3
11:38:17	1.0	11.4
11:38:19	0.8	11.3
11:38:20	0.8	11.2
11:38:21	0.7	11.3
11:38:23	0.6	11.1
11:38:24	0.6	10.9
11:38:25	0.5	10.8
11:38:27	0.5	10.9
11:38:28	0.4	10.9
11:38:29	0.1	11.0
11:38:31	0.2	10.8
11:38:32	0.1	10.8
11:38:33	0.2	10.8
11:38:34	0.2	10.9
11:38:36	0.1	10.8
11:38:37	0.1	10.5
11:38:38	0.0	10.3
11:38:40	0.0	10.5
11:38:41	0.0	10.6
11:38:42	-0.0	10.4
11:38:44	-0.0	10.5
11:38:45	-0.1	10.3
11:38:46	-0.1	10.2
11:38:48	-0.2	10.1
11:38:49	-0.1	10.2
11:38:50	-0.2	10.0
11:38:52	-0.3	9.9
11:38:53	-0.5	10.1
11:38:54	-0.5	10.0
11:38:55	-0.5	9.8
11:38:57	-0.5	9.8
11:38:58	-0.4	9.7
11:38:59	-0.4	9.8
11:39:01	-0.6	9.9
11:39:02	-0.5	9.9
11:39:03	-0.5	9.8
11:39:05	-0.6	9.7
11:39:06	-0.7	9.7
11:39:07	-0.8	9.7
11:39:09	-0.8	9.8
11:39:10	-0.8	9.7
11:39:11	-0.8	9.7
11:39:12	-0.8	9.5
11:39:14	-0.9	9.2
11:39:15	-1.0	9.0
11:39:16	-1.0	9.1
11:39:18	-1.1	9.1
11:39:19	-1.2	9.2
11:39:20	-1.2	9.1
11:39:22	-1.3	8.9
11:39:23	-1.4	8.9
11:39:24	-1.4	8.9
11:39:26	-1.5	8.8
11:39:27	-1.5	8.5
11:39:28	-1.5	8.5
11:39:30	-1.6	8.6
11:39:31	-1.6	8.7
11:39:32	-1.8	8.7
11:39:34	-1.7	8.6
11:39:35	-1.7	8.6
11:39:36	-1.7	8.4
11:39:37	-1.7	8.3
11:39:39	-1.7	8.3
11:39:40	-1.7	8.3
11:39:41	-1.8	8.1
11:39:43	-2.0	8.1
11:39:44	-2.0	8.1
11:39:45	-2.0	8.2
11:39:47	-2.1	8.1
11:39:48	-2.1	8.2
11:39:49	-2.1	8.0
11:39:51	-2.4	8.0
11:39:52	-2.4	8.1
11:39:53	-2.4	8.2
11:39:55	-2.5	8.2
11:39:56	-2.5	7.9
11:39:57	-2.6	7.9
11:39:58	-2.7	7.9
11:40:00	-2.6	7.7
11:40:01	-2.6	7.7
11:40:02	-2.7	7.6
11:40:04	-2.7	7.3
11:40:05	-2.7	7.6
11:40:06	-2.8	7.6
11:40:08	-3.1	7.5
11:40:09	-3.2	7.6
11:40:10	-3.1	7.4
11:40:12	-3.1	7.3
11:40:13	-3.2	7.3
11:40:14	-3.2	7.1
11:40:15	-3.2	6.9
11:40:17	-3.3	6.8
11:40:18	-3.3	6.9
11:40:19	-3.3	6.9
11:40:21	-3.2	7.0
11:40:22	-3.3	7.0
11:40:23	-3.5	7.0
11:40:25	-3.6	6.7
11:40:26	-3.8	6.9
11:40:27	-3.9	7.0
11:40:29	-3.9	6.8
11:40:30	-3.9	6.6
11:40:31	-4.1	6.8
11:40:33	-4.0	6.7
11:40:34	-3.9	6.6
11:40:35	-4.1	6.5
11:40:36	-4.1	6.3
11:40:38	-4.3	6.3
11:40:39	-4.3	6.2
11:40:40	-4.2	6.1
11:40:42	-4.4	6.1
11:40:43	-4.5	6.0
11:40:44	-4.5	6.0
11:40:46	-4.5	5.9
11:40:47	-4.4	5.7
11:40:48	-4.4	5.8
11:40:50	-4.7	5.9
11:40:51	-4.8	6.0
11:40:52	-4.9	5.8
11:40:53	-4.9	5.7
11:40:55	-5.0	5.7
11:40:56	-4.9	5.5
11:40:57	-4.8	5.5
11:40:59	-5.0	5.5
11:41:00	-5.1	5.6
11:41:01	-5.1	5.6
11:41:03	-5.2	5.5
11:41:04	-5.4	5.4
11:41:05	-5.4	5.4
11:41:07	-5.5	5.2
11:41:08	-5.6	5.1
11:41:09	-5.7	5.2
11:41:11	-5.8	5.3
11:41:12	-5.8	5.2
11:41:13	-5.8	4.9
11:41:15	-5.9	4.9
11:41:16	-5.9	4.8
11:41:17	-6.0	4.9
11:41:19	-6.1	4.9
11:41:20	-6.3	4.7
11:41:21	-6.3	4.6
11:41:22	-6.4	4.6
11:41:24	-6.6	4.5
11:41:25	-6.5	4.3
11:41:26	-6.5	4.2
11:41:28	-6.6	4.2
11:41:29	-6.6	4.4
11:41:30	-6.8	4.1
11:41:32	-6.7	4.1
11:41:33	-6.7	4.4
11:41:34	-6.8	4.3
11:41:36	-7.0	4.2
11:41:37	-6.9	4.2
11:41:38	-6.9	4.1
11:41:40	-7.0	4.1
11:41:41	-7.0	4.2
11:41:42	-7.0	4.2
11:41:44	-7.1	3.8
11:41:45	-7.0	3.8
11:41:46	-7.1	3.9
11:41:47	-7.2	3.6
11:41:49	-7.3	3.6
11:41:50	-7.4	3.7
11:41:51	-7.3	3.7
11:41:53	-7.3	3.5
11:41:54	-7.3	3.7
11:41:55	-7.4	3.5
11:41:57	-7.5	3.3
11:41:58	-7.7	3.5
11:41:59	-8.0	3.0
11:42:01	-7.9	3.1
11:42:02	-8.0	3.2
11:42:03	-7.9	3.3
11:42:05	-7.9	3.2
11:42:06	-7.9	3.1
11:42:07	-8.2	3.0
11:42:08	-8.3	3.0
11:42:10	-8.2	3.0
11:42:11	-8.1	3.1
11:42:12	-8.2	3.2
11:42:14	-8.4	3.0
11:42:15	-8.4	3.0
11:42:16	-8.6	2.9
11:42:18	-8.6	2.8
11:42:19	-8.6	3.0
11:42:20	-8.5	2.8
11:42:22	-8.6	2.8
11:42:23	-8.4	2.6
11:42:24	-8.6	2.6
11:42:26	-8.5	2.4
11:42:27	-8.5	2.3
11:42:28	-8.6	2.3
11:42:30	-8.6	2.5
11:42:31	-8.7	2.4
11:42:32	-8.6	2.2
11:42:33	-8.6	2.3
11:42:35	-8.6	2.4
11:42:36	-8.6	2.5
11:42:37	-8.7	2.4
11:42:39	-8.9	2.4
11:42:40	-8.8	2.4
11:42:41	-8.8	2.3
11:42:43	-8.9	2.2
11:42:44	-8.9	2.2
11:42:45	-8.9	2.1
11:42:47	-9.0	1.7
11:42:48	-8.9	1.8
11:42:49	-9.0	1.7
11:42:50	-9.0	1.8
11:42:52	-9.1	2.0
11:42:53	-9.2	2.1
11:42:54	-9.3	1.9
11:42:56	-9.2	1.6
11:42:57	-9.3	1.6
11:42:58	-9.2	1.6
11:43:00	-9.3	1.7
11:43:01	-9.2	1.6
11:43:02	-9.4	1.4
11:43:04	-9.3	1.4
11:43:05	-9.5	1.5
11:43:06	-9.4	1.3
11:43:08	-9.4	1.5
11:43:09	-9.5	1.4
11:43:10	-9.5	1.2
11:43:12	-9.6	1.2
11:43:13	-9.8	1.3
11:43:14	-9.7	1.1
11:43:15	-9.6	1.2
11:43:17	-9.7	1.3
11:43:18	-9.9	1.3
11:43:19	-9.9	1.3
11:43:21	-10.0	1.1
11:43:22	-10.0	1.0
11:43:23	-9.9	0.8
11:43:25	-9.9	0.9
11:43:26	-10.0	0.8
11:43:27	-10.0	0.7
11:43:29	-10.0	0.5
11:43:30	-10.1	0.6
11:43:31	-10.0	0.4
11:43:33	-10.0	0.5
11:43:34	-10.2	0.7
11:43:35	-10.1	0.6
11:43:36	-10.2	0.6
11:43:38	-10.1	0.6
11:43:39	-10.1	0.4
11:43:40	-10.2	0.3
11:43:42	-10.2	0.3
11:43:43	-10.2	0.3
11:43:44	-10.1	0.3
11:43:46	-10.1	0.3
11:43:47	-10.2	0.3
11:43:48	-10.4	0.4
11:43:50	-10.4	0.2
11:43:51	-10.4	0.3
11:43:52	-10.5	0.1
11:43:54	-10.6	0.1
11:43:55	-10.6	0.0
11:43:56	-10.6	-0.1
11:43:58	-10.5	-0.0
11:43:59	-10.6	-0.3
11:44:00	-10.6	-0.1
11:44:01	-10.6	-0.0
11:44:03	-10.6	-0.1
11:44:04	-10.6	0.0
11:44:05	-10.7	-0.1
11:44:07	-10.8	-0.3
11:44:08	-10.8	-0.2
11:44:09	-10.9	-0.1
11:44:11	-10.9	-0.2
11:44:12	-10.8	-0.3
11:44:13	-10.8	-0.3
11:44:15	-10.8	-0.5
11:44:16	-11.1	-0.4
11:44:17	-11.1	-0.5
11:44:19	-11.1	-0.6
11:44:20	-11.1	-0.4
11:44:21	-11.2	-0.5
11:44:23	-11.1	-0.7
11:44:24	-11.1	-0.6
11:44:25	-11.1	-0.6
11:44:26	-11.2	-0.7
11:44:28	-11.1	-0.7
11:44:29	-11.1	-0.7
11:44:30	-11.2	-0.6
11:44:32	-11.3	-0.9
11:44:33	-11.2	-0.9
11:44:34	-11.1	-0.9
11:44:36	-11.2	-1.1
11:44:37	-11.2	-0.9
11:44:38	-11.4	-1.0
11:44:40	-11.4	-0.9
11:44:41	-11.4	-1.2
11:44:42	-11.4	-1.4
11:44:44	-11.4	-1.3
11:44:45	-11.4	-1.2
11:44:46	-11.5	-1.3
11:44:48	-11.4	-1.2
11:44:49	-11.4	-1.2
11:44:50	-11.5	-1.2
11:44:51	-11.6	-1.1
11:44:53	-11.5	-1.2
11:44:54	-11.5	-1.4
11:44:55	-11.5	-1.4
11:44:57	-11.5	-1.4
11:44:58	-11.5	-1.4
11:44:59	-11.4	-1.4
11:45:01	-11.4	-1.6
11:45:02	-11.6	-1.8
11:45:03	-11.6	-1.8
11:45:05	-11.5	-1.9
11:45:06	-11.5	-1.7
11:45:07	-11.5	-1.6
11:45:09	-11.4	-1.9
11:45:10	-11.5	-1.9
11:45:11	-11.5	-1.8
11:45:13	-11.6	-1.9
11:45:14	-11.6	-2.0
11:45:15	-11.6	-2.0
11:45:16	-11.6	-1.9
11:45:18	-11.6	-1.9
11:45:19	-11.7	-2.0
11:45:20	-11.6	-2.0
11:45:22	-11.6	-1.8
11:45:23	-11.7	-1.8
11:45:24	-11.8	-2.2
11:45:26	-11.8	-2.3
11:45:27	-11.9	-2.4
11:45:28	-11.8	-2.4
11:45:30	-11.8	-2.5
11:45:31	-11.9	-2.6
11:45:32	-11.9	-2.6
11:45:34	-11.8	-2.5
11:45:35	-11.8	-2.4
11:45:36	-11.9	-2.4
11:45:38	-12.0	-2.5
11:45:39	-12.0	-2.5
11:45:40	-12.0	-2.4
11:45:41	-12.0	-2.6
11:45:43	-12.0	-2.5
11:45:44	-12.1	-2.5
11:45:45	-12.0	-2.5
11:45:47	-12.1	-2.5
