time	T hot	T cold
14:10:01	28.2	28.4
14:10:02	28.2	28.4
14:10:03	28.3	28.4
14:10:05	29.7	27.9
14:10:06	31.2	26.8
14:10:07	31.5	26.1
14:10:09	31.9	25.2
14:10:10	32.0	24.4
14:10:11	32.1	23.5
14:10:12	32.2	22.7
14:10:14	32.2	22.0
14:10:15	32.2	21.1
14:10:16	32.3	20.5
14:10:18	32.3	19.6
14:10:19	32.2	18.9
14:10:20	32.2	18.1
14:10:22	32.1	17.3
14:10:23	32.1	16.7
14:10:24	32.1	15.9
14:10:25	32.1	15.2
14:10:27	32.1	14.6
14:10:28	32.1	13.8
14:10:29	32.1	13.3
14:10:31	32.1	12.5
14:10:32	32.1	11.9
14:10:33	32.1	11.3
14:10:35	32.0	10.6
14:10:36	32.0	10.1
14:10:37	32.0	9.4
14:10:39	32.0	8.7
14:10:40	32.0	8.2
14:10:41	32.0	7.6
14:10:42	32.0	7.1
14:10:44	32.0	6.4
14:10:45	31.9	5.9
14:10:46	32.0	5.4
14:10:48	31.9	4.8
14:10:49	31.9	4.3
14:10:50	31.9	3.7
14:10:52	31.9	3.3
14:10:53	31.8	2.7
14:10:54	31.9	2.2
14:10:55	31.8	1.7
14:10:57	31.8	1.2
14:10:58	31.8	0.8
14:10:59	31.8	0.2
14:11:01	31.8	-0.1
14:11:02	31.8	-0.5
14:11:03	31.8	-1.1
14:11:05	31.7	-1.5
14:11:06	31.8	-1.9
14:11:07	31.7	-2.4
14:11:09	31.7	-2.8
14:11:10	31.7	-3.3
14:11:11	31.7	-3.6
14:11:12	31.7	-4.1
14:11:14	31.7	-4.5
14:11:15	31.7	-4.9
14:11:16	31.7	-5.4
14:11:18	31.7	-5.6
14:11:19	31.7	-6.1
14:11:20	31.7	-6.4
14:11:22	31.6	-6.8
14:11:23	31.6	-7.2
14:11:24	31.6	-7.5
14:11:25	31.6	-7.9
14:11:27	31.6	-8.2
14:11:28	31.6	-8.6
14:11:29	31.5	-8.9
14:11:31	31.5	-9.3
14:11:32	31.5	-9.6
14:11:33	31.5	-9.9
14:11:35	31.5	-10.3
14:11:36	31.5	-10.6
14:11:37	31.5	-10.9
14:11:39	31.5	-11.2
14:11:40	31.5	-11.5
14:11:41	31.6	-11.8
14:11:42	31.6	-12.1
14:11:44	31.6	-12.3
14:11:45	31.6	-12.7
14:11:46	31.6	-12.9
14:11:48	31.5	-13.2
14:11:49	31.5	-13.5
14:11:50	31.5	-13.8
14:11:52	31.5	-14.1
14:11:53	31.5	-14.3
14:11:54	31.5	-14.6
14:11:55	31.5	-14.9
14:11:57	31.5	-15.1
14:11:58	31.5	-15.3
14:11:59	31.5	-15.6
14:12:01	31.4	-15.9
14:12:02	31.5	-16.1
14:12:03	31.4	-16.3
14:12:05	31.4	-16.5
14:12:06	31.4	-16.8
14:12:07	31.4	-17.1
14:12:09	31.4	-17.3
14:12:10	31.4	-17.5
14:12:11	31.4	-17.7
14:12:12	31.4	-17.9
14:12:14	31.4	-18.2
14:12:15	31.4	-18.4
14:12:16	31.4	-18.5
14:12:18	31.4	-18.8
14:12:19	31.3	-19.0
14:12:20	31.3	-19.2
14:12:22	31.3	-19.3
14:12:23	31.3	-19.5
14:12:24	31.3	-19.8
14:12:26	31.3	-19.9
14:12:27	31.3	-20.1
14:12:28	31.3	-20.3
14:12:29	31.3	-20.5
14:12:31	31.3	-20.6
14:12:32	31.3	-20.8
14:12:33	31.3	-21.0
14:12:35	31.3	-21.1
14:12:36	31.3	-21.3
14:12:37	31.3	-21.4
14:12:39	31.3	-21.6
14:12:40	31.3	-21.8
14:12:41	31.3	-21.9
14:12:42	31.3	-22.0
14:12:44	31.3	-22.2
14:12:45	31.3	-22.3
14:12:46	31.3	-22.5
14:12:48	31.3	-22.7
14:12:49	31.3	-22.8
14:12:50	31.2	-23.0
14:12:52	31.3	-23.1
14:12:53	31.2	-23.2
14:12:54	31.2	-23.4
14:12:56	31.2	-23.5
14:12:57	31.2	-23.6
14:12:58	31.2	-23.7
14:12:59	31.2	-23.8
14:13:01	31.2	-24.0
14:13:02	31.2	-24.1
14:13:03	31.2	-24.2
14:13:05	31.2	-24.3
14:13:06	31.2	-24.5
14:13:07	31.2	-24.6
14:13:08	31.2	-24.7
14:13:10	31.2	-24.8
14:13:11	31.2	-24.9
14:13:12	31.2	-25.0
14:13:14	31.2	-25.1
14:13:15	31.2	-25.2
14:13:16	31.2	-25.3
14:13:18	31.2	-25.5
14:13:19	31.2	-25.5
14:13:20	31.2	-25.6
14:13:21	31.2	-25.7
14:13:23	31.2	-25.8
14:13:24	31.2	-25.9
14:13:25	31.2	-26.0
14:13:27	31.2	-26.1
14:13:28	31.2	-26.2
14:13:29	31.2	-26.3
14:13:31	31.2	-26.3
14:13:32	31.2	-26.4
14:13:33	31.2	-26.5
14:13:35	31.2	-26.6
14:13:36	31.2	-26.7
14:13:37	31.2	-26.8
14:13:38	31.2	-26.9
14:13:40	31.1	-27.0
14:13:41	31.1	-27.0
14:13:42	31.1	-27.1
14:13:44	31.1	-27.1
14:13:45	31.2	-27.2
14:13:46	31.2	-27.3
14:13:48	31.2	-27.4
14:13:49	31.1	-27.5
14:13:50	31.2	-27.5
14:13:52	31.1	-27.7
14:13:53	31.2	-27.7
14:13:54	31.1	-27.7
14:13:56	31.2	-27.8
14:13:57	31.2	-27.8
14:13:58	31.2	-27.9
14:13:59	31.2	-28.0
14:14:01	31.2	-28.0
14:14:02	31.1	-28.2
14:14:03	31.2	-28.2
14:14:05	31.1	-28.3
14:14:06	31.2	-28.3
14:14:07	31.2	-28.4
14:14:09	31.2	-28.4
14:14:10	31.1	-28.4
14:14:11	31.1	-28.5
14:14:12	31.2	-28.6
14:14:14	31.1	-28.6
14:14:15	31.1	-28.7
14:14:16	31.1	-28.7
14:14:18	31.1	-28.8
14:14:19	31.1	-28.9
14:14:20	31.2	-28.9
14:14:22	31.2	-29.0
14:14:23	31.2	-29.0
14:14:24	31.2	-29.1
14:14:26	31.2	-29.1
14:14:27	31.2	-29.1
14:14:28	31.2	-29.1
14:14:29	31.2	-29.2
14:14:31	31.2	-29.2
14:14:32	31.2	-29.3
14:14:33	31.2	-29.3
14:14:35	31.2	-29.4
14:14:36	31.2	-29.4
14:14:37	31.2	-29.5
