time	T hot	T cold
10:25:01	27.9	28.2
10:25:02	28.0	28.2
10:25:04	27.9	28.3
10:25:05	28.1	28.3
10:25:06	30.2	27.7
10:25:08	31.2	26.8
10:25:09	31.6	25.8
10:25:10	31.8	24.9
10:25:12	31.9	24.1
10:25:13	32.0	23.2
10:25:14	32.0	22.4
10:25:16	32.0	21.6
10:25:17	32.0	20.7
10:25:18	32.0	19.9
10:25:20	32.0	19.2
10:25:21	31.9	18.2
10:25:22	31.9	17.5
10:25:24	31.9	16.8
10:25:25	31.9	16.0
10:25:26	31.9	15.4
10:25:28	31.9	14.7
10:25:29	31.9	13.9
10:25:30	31.9	13.3
10:25:32	31.9	12.5
10:25:33	31.8	11.9
10:25:34	31.8	11.2
10:25:36	31.8	10.5
10:25:37	31.8	9.9
10:25:38	31.8	9.3
10:25:39	31.8	8.7
10:25:41	31.7	8.0
10:25:42	31.7	7.4
10:25:43	31.7	6.7
10:25:45	31.7	6.2
10:25:46	31.6	5.5
10:25:47	31.6	5.0
10:25:49	31.6	4.5
10:25:50	31.6	3.8
10:25:51	31.6	3.3
10:25:53	31.5	2.8
10:25:54	31.5	2.2
10:25:55	31.5	1.7
10:25:57	31.5	1.2
10:25:58	31.5	0.6
10:25:59	31.5	0.2
10:26:01	31.4	-0.3
10:26:02	31.4	-0.8
10:26:03	31.4	-1.2
10:26:05	31.4	-1.7
10:26:06	31.4	-2.2
10:26:07	31.4	-2.6
10:26:09	31.4	-3.1
10:26:10	31.4	-3.6
10:26:11	31.4	-4.0
10:26:13	31.4	-4.5
10:26:14	31.4	-4.9
10:26:15	31.3	-5.3
10:26:17	31.3	-5.8
10:26:18	31.3	-6.1
10:26:19	31.3	-6.6
10:26:21	31.2	-7.0
10:26:22	31.3	-7.4
10:26:23	31.3	-7.8
10:26:25	31.2	-8.2
10:26:26	31.3	-8.5
10:26:27	31.2	-8.9
10:26:29	31.2	-9.4
10:26:30	31.2	-9.7
10:26:31	31.2	-10.1
10:26:33	31.2	-10.4
10:26:34	31.2	-10.7
10:26:35	31.2	-11.1
10:26:36	31.2	-11.5
10:26:38	31.1	-11.8
10:26:39	31.1	-12.2
10:26:40	31.1	-12.5
10:26:42	31.1	-12.9
10:26:43	31.0	-13.2
10:26:44	31.0	-13.5
10:26:46	31.0	-13.8
10:26:47	31.0	-14.1
10:26:48	31.0	-14.4
10:26:50	31.0	-14.7
10:26:51	31.0	-15.0
10:26:52	31.0	-15.3
10:26:54	31.0	-15.6
10:26:55	30.9	-15.9
10:26:56	30.9	-16.1
10:26:58	30.9	-16.4
10:26:59	30.9	-16.7
