time	T hot	T water	T cold	mBar
14:19:59	30.3	29.1	28.4	-106
14:20:00	30.6	29.1	28.3	-107
14:20:02	32.8	29.1	27.7	-106
14:20:04	33.3	29.1	27.4	-106
14:20:05	33.5	29.0	27.3	-106
14:20:07	33.6	29.0	27.2	-105
14:20:08	33.7	29.0	27.0	-106
14:20:10	33.7	28.9	26.8	-105
14:20:11	33.8	29.0	26.6	-107
14:20:13	33.8	29.0	26.5	-106
14:20:15	33.9	28.9	26.4	-106
14:20:16	33.9	28.9	26.2	-107
14:20:18	33.9	28.9	26.0	-106
14:20:19	34.0	28.9	25.9	-106
14:20:21	34.0	28.9	25.7	-106
14:20:22	34.0	28.9	25.5	-107
14:20:24	34.1	28.9	25.4	-105
14:20:26	34.1	28.9	25.2	-107
14:20:27	34.1	28.9	25.1	-107
14:20:29	34.2	28.9	25.0	-106
14:20:30	34.2	28.8	24.8	-106
14:20:32	34.2	28.8	24.7	-106
14:20:33	34.3	28.8	24.5	-106
14:20:35	34.3	28.8	24.5	-107
14:20:37	34.4	28.8	24.3	-106
14:20:38	34.3	28.8	24.1	-106
14:20:40	34.3	28.8	23.9	-106
14:20:41	34.4	28.7	23.8	-106
14:20:43	34.4	28.7	23.7	-107
14:20:45	34.4	28.5	23.6	-106
14:20:46	34.4	28.3	23.4	-107
14:20:48	34.4	28.2	23.3	-105
14:20:49	34.4	28.1	23.1	-107
14:20:51	34.5	28.0	23.0	-106
14:20:52	34.5	28.0	22.9	-106
14:20:54	34.5	27.9	22.8	-106
14:20:56	34.5	27.9	22.6	-106
14:20:57	34.6	27.8	22.5	-107
14:20:59	34.5	27.8	22.4	-106
14:21:00	34.6	27.7	22.3	-103
14:21:02	34.6	27.7	22.2	-106
14:21:03	34.6	27.5	22.0	-106
14:21:05	34.7	27.4	21.9	-105
14:21:07	34.7	27.4	21.8	-107
14:21:08	34.7	27.4	21.7	-106
14:21:10	34.7	27.3	21.5	-106
14:21:11	34.7	27.2	21.4	-106
14:21:13	34.7	27.2	21.3	-107
14:21:14	34.7	27.1	21.2	-106
14:21:16	34.7	27.1	21.1	-106
14:21:18	34.7	27.1	21.0	-106
14:21:19	34.7	27.1	20.8	-107
14:21:21	34.7	27.0	20.7	-106
14:21:22	34.7	27.0	20.6	-106
14:21:24	34.7	27.0	20.4	-106
14:21:25	34.8	26.9	20.4	-106
14:21:27	34.8	26.8	20.2	-106
14:21:29	34.8	26.8	20.1	-106
