time	T hot	T cold	mBar	T test
14:12:49	22.8	23.1	-966	21.7
14:12:51	22.8	23.1	-964	21.8
14:12:52	22.8	23.1	-962	21.7
14:12:53	22.8	23.2	-964	21.7
14:12:54	22.8	23.2	-964	21.7
14:12:56	22.9	23.2	-965	21.7
14:12:57	23.0	23.2	-962	21.8
14:12:58	22.9	23.1	-965	21.8
14:13:00	22.9	23.2	-962	21.8
14:13:01	22.9	23.2	-965	21.7
14:13:02	23.0	23.2	-961	21.8
14:13:04	23.0	23.2	-962	21.8
14:13:05	23.0	23.2	-962	21.8
14:13:06	23.0	23.2	-962	21.8
14:13:08	23.0	23.2	-961	21.7
14:13:09	23.0	23.2	-962	21.7
14:13:10	23.0	23.2	-962	21.8
14:13:12	23.0	23.2	-964	21.7
14:13:13	23.0	23.2	-964	21.7
14:13:14	22.9	23.2	-962	21.8
14:13:15	23.0	23.2	-964	21.7
14:13:17	23.0	23.1	-964	21.8
14:13:18	23.0	23.2	-961	21.7
14:13:19	23.1	23.2	-965	21.8
14:13:21	23.0	23.2	-962	21.8
14:13:22	23.1	23.2	-964	21.8
14:13:23	23.0	23.3	-964	21.8
14:13:25	23.1	23.2	-964	21.8
14:13:26	23.1	23.3	-964	21.8
14:13:27	23.1	23.3	-964	21.8
14:13:28	23.1	23.3	-962	21.8
14:13:30	23.0	23.3	-964	21.8
14:13:31	23.0	23.3	-964	21.8
14:13:33	23.0	23.3	-965	21.8
14:13:34	23.0	23.2	-964	21.8
14:13:35	23.0	23.2	-964	21.8
14:13:37	22.9	23.1	-962	21.8
14:13:38	23.0	23.1	-964	21.7
14:13:39	23.0	23.1	-964	21.7
14:13:40	22.9	23.2	-965	21.7
14:13:42	23.0	23.2	-965	21.7
14:13:43	23.0	23.2	-964	21.8
14:13:44	22.9	23.1	-964	21.8
14:13:46	22.9	23.2	-964	21.8
14:13:47	22.9	23.2	-964	21.8
14:13:48	22.9	23.2	-964	21.8
14:13:50	22.9	23.2	-962	21.8
14:13:51	22.9	23.2	-962	21.8
14:13:52	22.8	23.2	-960	21.8
14:13:54	22.8	23.3	-962	21.8
14:13:55	22.9	23.3	-962	21.8
14:13:56	22.9	23.3	-962	21.8
14:13:58	23.0	23.3	-964	21.8
14:13:59	23.0	23.3	-962	21.8
14:14:00	22.9	23.2	-964	21.8
14:14:02	22.9	23.2	-964	21.8
14:14:03	22.9	23.2	-962	21.8
14:14:04	22.8	23.3	-962	21.8
14:14:06	22.9	23.3	-962	21.8
14:14:07	22.9	23.4	-962	21.9
14:14:08	22.9	23.3	-965	21.9
14:14:09	22.8	23.3	-964	21.9
14:14:11	22.9	23.4	-965	21.9
14:14:12	22.9	23.4	-964	21.9
14:14:13	22.9	23.4	-964	21.8
14:14:15	22.9	23.4	-962	21.9
14:14:16	23.0	23.3	-962	21.9
14:14:17	23.0	23.4	-964	21.8
14:14:19	22.9	23.4	-964	21.8
14:14:20	22.9	23.5	-964	21.8
