time	T hot	T cold
13:40:02	14.0	12.9
13:40:03	14.0	12.9
13:40:04	14.1	12.9
13:40:06	14.0	12.9
13:40:07	15.6	12.7
13:40:08	16.8	12.0
13:40:10	17.3	11.2
13:40:11	17.5	10.4
13:40:12	17.6	9.6
13:40:14	17.7	8.6
13:40:15	17.8	7.7
13:40:16	17.9	6.8
13:40:18	18.0	5.9
13:40:19	18.0	5.2
13:40:20	18.1	4.3
13:40:22	18.2	3.4
13:40:23	18.2	2.7
13:40:24	18.3	1.8
13:40:26	18.2	0.9
13:40:27	18.3	0.5
13:40:28	18.4	-0.4
13:40:29	18.4	-1.2
13:40:31	18.5	-1.8
13:40:32	18.5	-2.6
13:40:33	18.5	-3.4
13:40:35	18.6	-4.0
13:40:36	18.6	-4.7
13:40:37	18.6	-5.4
13:40:39	18.6	-6.1
13:40:40	18.7	-6.8
13:40:41	18.7	-7.4
13:40:43	18.7	-8.0
13:40:44	18.7	-8.7
13:40:45	18.8	-9.4
13:40:47	18.7	-10.0
13:40:48	18.8	-10.6
13:40:49	18.8	-11.1
13:40:51	18.8	-11.8
13:40:52	18.8	-12.4
13:40:53	18.8	-12.9
13:40:55	18.8	-13.5
13:40:56	18.8	-14.1
13:40:57	18.8	-14.6
13:40:59	18.8	-15.1
13:41:00	18.8	-15.7
13:41:01	18.8	-16.2
13:41:03	18.8	-16.7
13:41:04	18.8	-17.2
13:41:05	18.8	-17.7
13:41:07	18.8	-18.3
13:41:08	18.8	-18.6
13:41:09	18.8	-19.1
13:41:10	18.8	-19.6
13:41:12	18.8	-20.0
13:41:13	18.8	-20.4
13:41:14	18.8	-21.0
13:41:16	18.8	-21.4
13:41:17	18.8	-21.9
13:41:18	18.7	-22.2
13:41:20	18.8	-22.6
13:41:21	18.8	-23.0
13:41:22	18.8	-23.3
13:41:24	18.8	-23.7
13:41:25	18.7	-24.1
13:41:26	18.7	-24.5
13:41:28	18.7	-24.8
13:41:29	18.8	-25.2
13:41:30	18.7	-25.6
13:41:32	18.7	-25.9
13:41:33	18.7	-26.3
13:41:34	18.8	-26.5
13:41:36	18.8	-26.9
13:41:37	18.7	-27.3
13:41:38	18.8	-27.6
13:41:40	18.8	-27.9
13:41:41	18.7	-28.2
13:41:42	18.7	-28.5
13:41:44	18.7	-28.9
13:41:45	18.7	-29.1
13:41:46	18.6	-29.4
13:41:48	18.6	-29.8
13:41:49	18.6	-30.1
13:41:50	18.7	-30.4
13:41:52	18.6	-30.7
13:41:53	18.6	-31.0
13:41:54	18.6	-31.2
13:41:56	18.6	-31.5
13:41:57	18.6	-31.8
13:41:58	18.6	-32.1
13:42:00	18.6	-32.3
13:42:01	18.6	-32.6
13:42:02	18.6	-32.8
13:42:04	18.6	-33.1
13:42:05	18.6	-33.4
13:42:06	18.6	-33.6
13:42:08	18.6	-33.9
13:42:09	18.6	-34.1
13:42:10	18.6	-34.3
13:42:12	18.6	-34.6
13:42:13	18.6	-34.8
13:42:14	18.6	-35.0
13:42:16	18.6	-35.3
13:42:17	18.6	-35.5
13:42:18	18.6	-35.6
13:42:20	18.6	-35.9
13:42:21	18.6	-36.1
13:42:22	18.6	-36.3
13:42:24	18.6	-36.5
13:42:25	18.5	-36.7
13:42:26	18.5	-37.0
13:42:28	18.5	-37.1
13:42:29	18.5	-37.3
13:42:30	18.5	-37.5
13:42:32	18.5	-37.7
13:42:33	18.5	-37.8
13:42:34	18.5	-38.0
13:42:36	18.5	-38.3
13:42:37	18.5	-38.4
13:42:38	18.5	-38.6
13:42:40	18.5	-38.8
13:42:41	18.4	-38.9
13:42:42	18.4	-39.1
13:42:44	18.4	-39.2
13:42:45	18.4	-39.4
13:42:46	18.4	-39.5
13:42:48	18.4	-39.7
13:42:49	18.4	-39.9
13:42:50	18.4	-40.0
13:42:51	18.4	-40.2
13:42:53	18.4	-40.4
13:42:54	18.4	-40.5
13:42:55	18.4	-40.6
13:42:57	18.4	-40.7
13:42:58	18.4	-40.9
13:42:59	18.4	-41.0
13:43:01	18.4	-41.2
13:43:02	18.4	-41.3
13:43:03	18.4	-41.4
13:43:05	18.4	-41.5
13:43:06	18.3	-41.7
13:43:07	18.3	-41.8
13:43:09	18.3	-42.0
13:43:10	18.3	-42.1
13:43:11	18.3	-42.2
13:43:13	18.3	-42.3
13:43:14	18.3	-42.4
13:43:15	18.3	-42.5
13:43:17	18.3	-42.6
13:43:18	18.3	-42.8
13:43:19	18.3	-42.9
13:43:21	18.3	-43.0
13:43:22	18.2	-43.1
13:43:23	18.3	-43.2
13:43:25	18.3	-43.3
13:43:26	18.2	-43.4
13:43:27	18.3	-43.5
13:43:29	18.2	-43.5
13:43:30	18.2	-43.7
13:43:31	18.2	-43.8
13:43:33	18.2	-43.9
13:43:34	18.2	-43.9
13:43:35	18.2	-44.1
13:43:37	18.2	-44.2
13:43:38	18.2	-44.2
13:43:39	18.2	-44.3
13:43:41	18.2	-44.4
13:43:42	18.2	-44.5
13:43:43	18.2	-44.5
13:43:45	18.2	-44.6
13:43:46	18.2	-44.7
13:43:47	18.2	-44.8
13:43:49	18.2	-44.9
13:43:50	18.2	-45.0
13:43:51	18.2	-45.0
13:43:53	18.2	-45.1
13:43:54	18.2	-45.1
13:43:55	18.2	-45.2
13:43:57	18.2	-45.3
13:43:58	18.2	-45.4
13:43:59	18.2	-45.4
13:44:00	18.2	-45.5
13:44:02	18.2	-45.6
13:44:03	18.2	-45.7
13:44:04	18.2	-45.8
13:44:06	18.2	-45.8
13:44:07	18.2	-45.8
13:44:09	18.2	-45.9
13:44:10	18.2	-45.9
13:44:11	18.2	-46.0
13:44:13	18.2	-46.1
13:44:14	18.2	-46.1
13:44:15	18.2	-46.2
13:44:17	18.2	-46.2
13:44:18	18.1	-46.3
13:44:19	18.2	-46.3
13:44:21	18.1	-46.4
13:44:22	18.2	-46.5
13:44:23	18.2	-46.5
13:44:25	18.2	-46.5
13:44:26	18.2	-46.6
13:44:27	18.2	-46.6
13:44:29	18.2	-46.6
13:44:30	18.2	-46.7
13:44:31	18.2	-46.7
13:44:33	18.2	-46.8
13:44:34	18.2	-46.8
13:44:35	18.2	-46.9
13:44:37	18.1	-47.0
13:44:38	18.2	-47.0
13:44:39	18.2	-47.0
13:44:41	18.2	-47.1
13:44:42	18.1	-47.2
13:44:43	18.1	-47.2
13:44:45	18.2	-47.2
13:44:46	18.2	-47.2
13:44:47	18.2	-47.3
13:44:49	18.2	-47.3
13:44:50	18.1	-47.3
13:44:51	18.1	-47.4
13:44:53	18.2	-47.3
13:44:54	18.2	-47.4
13:44:55	18.2	-47.4
13:44:57	18.2	-47.5
13:44:58	18.2	-47.5
13:44:59	18.2	-47.6
13:45:01	18.2	-47.6
13:45:02	18.2	-47.7
13:45:03	18.2	-47.7
13:45:05	18.2	-47.7
13:45:06	18.2	-47.8
13:45:07	18.1	-47.8
13:45:09	18.1	-47.8
13:45:10	18.2	-47.9
13:45:11	18.2	-47.9
13:45:12	18.2	-47.9
13:45:14	18.2	-48.0
13:45:15	18.2	-48.0
13:45:16	18.2	-48.0
13:45:18	18.2	-48.1
13:45:19	18.2	-48.1
13:45:20	18.2	-48.1
13:45:22	18.2	-48.1
13:45:23	18.1	-48.2
13:45:24	18.2	-48.2
13:45:26	18.1	-48.2
13:45:27	18.2	-48.2
13:45:29	18.2	-48.3
13:45:30	18.2	-48.2
13:45:31	18.2	-48.2
13:45:33	18.2	-48.3
13:45:34	18.2	-48.3
13:45:35	18.2	-48.3
13:45:37	18.2	-48.4
13:45:38	18.3	-48.4
13:45:39	18.2	-48.4
13:45:40	18.3	-48.4
13:45:42	18.3	-48.4
13:45:43	18.3	-48.4
13:45:44	18.3	-48.4
13:45:46	18.3	-48.5
13:45:47	18.3	-48.5
13:45:48	18.3	-48.6
13:45:50	18.3	-48.6
13:45:51	18.3	-48.6
13:45:52	18.3	-48.6
13:45:54	18.3	-48.6
13:45:55	18.3	-48.6
13:45:56	18.3	-48.6
13:45:58	18.3	-48.7
13:45:59	18.3	-48.7
13:46:00	18.3	-48.7
13:46:02	18.3	-48.7
13:46:03	18.3	-48.7
13:46:04	18.3	-48.8
13:46:06	18.3	-48.8
13:46:07	18.3	-48.8
13:46:08	18.3	-48.7
13:46:10	18.3	-48.8
13:46:11	18.3	-48.8
13:46:12	18.4	-48.8
13:46:13	18.4	-48.8
13:46:15	18.4	-48.8
13:46:16	18.3	-48.8
13:46:17	18.4	-48.8
13:46:19	18.4	-48.9
13:46:20	18.3	-48.9
13:46:21	18.4	-48.9
13:46:23	18.4	-48.9
13:46:24	18.4	-49.0
13:46:25	18.4	-49.0
13:46:27	18.3	-49.0
13:46:28	18.4	-49.0
13:46:29	18.4	-49.0
13:46:31	18.4	-49.0
13:46:32	18.4	-49.1
13:46:33	18.4	-49.1
13:46:35	18.4	-49.1
13:46:36	18.4	-49.1
13:46:37	18.4	-49.1
13:46:39	18.4	-49.1
13:46:40	18.4	-49.1
13:46:41	18.4	-49.2
13:46:43	18.4	-49.2
13:46:44	18.4	-49.2
13:46:45	18.4	-49.2
13:46:47	18.4	-49.2
13:46:48	18.4	-49.2
13:46:49	18.4	-49.2
13:46:51	18.4	-49.2
13:46:52	18.4	-49.2
13:46:53	18.4	-49.2
13:46:55	18.4	-49.2
13:46:56	18.4	-49.2
13:46:57	18.4	-49.2
13:46:59	18.5	-49.2
